country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Trinidad and Tobago,Arima,March,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141107
Trinidad and Tobago,Arima,April,2023,2,0,0,2,8.0,0.0,0.0,8.0,1726141107
Trinidad and Tobago,Arima,May,2023,5,0,0,4,3.0,0.0,0.0,3.0,1726141107
Trinidad and Tobago,Arima,June,2023,4,0,0,3,3.0,0.0,0.0,3.0,1726141107
Trinidad and Tobago,Arima,July,2023,3,0,0,3,3.0,1.0,0.0,2.0,1726141107
Trinidad and Tobago,Arima,August,2023,4,1,0,3,4.0,0.0,0.0,4.0,1726141107
Trinidad and Tobago,Arima,September,2023,4,0,0,4,3.0,0.0,0.0,3.0,1726141107
Trinidad and Tobago,Arima,October,2023,3,0,0,3,2.0,1.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,November,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,December,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,January,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,February,2024,1,0,0,1,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,March,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Arima,April,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Arima,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Arima,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Arima,July,2024,0,0,0,0,3.0,1.0,0.0,2.0,1726141108
Trinidad and Tobago,Arima,August,2024,3,1,0,2,3.0,0.0,0.0,3.0,1726141108
Trinidad and Tobago,Chaguanas,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Chaguanas,April,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,May,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,June,2023,2,0,0,2,4.0,0.0,0.0,4.0,1726141108
Trinidad and Tobago,Chaguanas,July,2023,4,0,0,4,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,August,2023,3,0,0,3,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Chaguanas,September,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Chaguanas,October,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,November,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,December,2023,2,0,0,2,4.0,1.0,0.0,3.0,1726141108
Trinidad and Tobago,Chaguanas,January,2024,4,1,0,3,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Chaguanas,February,2024,1,0,0,1,3.0,0.0,0.0,3.0,1726141108
Trinidad and Tobago,Chaguanas,March,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Chaguanas,April,2024,0,0,0,0,2.0,1.0,0.0,1.0,1726141108
Trinidad and Tobago,Chaguanas,May,2024,1,0,0,1,2.0,1.0,0.0,1.0,1726141108
Trinidad and Tobago,Chaguanas,June,2024,2,1,0,1,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Chaguanas,July,2024,2,0,0,2,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Chaguanas,August,2024,2,0,0,2,3.0,1.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,March,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,April,2023,1,0,0,1,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,May,2023,2,0,0,2,5.0,1.0,0.0,4.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,June,2023,4,1,0,3,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,July,2023,2,0,0,2,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,August,2023,2,0,0,2,6.0,3.0,0.0,3.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,September,2023,4,1,0,3,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,October,2023,2,0,0,2,4.0,2.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,November,2023,3,1,0,2,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,December,2023,0,0,0,0,2.0,2.0,0.0,0.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,January,2024,1,1,0,0,1.0,0.0,0.0,1.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,February,2024,1,0,0,1,2.0,0.0,0.0,2.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,March,2024,2,0,0,2,0.0,0.0,0.0,0.0,1726141108
Trinidad and Tobago,Couva-Tabaquite-Talparo,April,2024,0,0,0,0,3.0,0.0,0.0,3.0,1726141108
