country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Turkey,Adana,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,May,2023,0,0,0,0,1.0,0.0,1.0,0.0,1726141110
Turkey,Adana,June,2023,1,0,1,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,July,2023,0,0,0,0,2.0,0.0,1.0,1.0,1726141110
Turkey,Adana,August,2023,2,0,1,1,1.0,0.0,1.0,0.0,1726141110
Turkey,Adana,September,2023,0,0,0,0,3.0,1.0,2.0,0.0,1726141110
Turkey,Adana,October,2023,2,1,1,0,4.0,1.0,2.0,1.0,1726141110
Turkey,Adana,November,2023,3,1,1,1,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,December,2023,0,0,0,0,3.0,0.0,1.0,2.0,1726141110
Turkey,Adana,January,2024,2,0,1,1,1.0,0.0,1.0,0.0,1726141110
Turkey,Adana,February,2024,1,0,1,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adana,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,March,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Adiyaman,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
Turkey,Afyonkarahisar,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141110
