country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Ukraine,Cherkasy,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Cherkasy,April,2023,3,2,1,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,May,2023,2,0,1,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,June,2023,2,0,2,0,2.0,0.0,2.0,0.0,1726141127
Ukraine,Cherkasy,July,2023,2,0,1,0,3.0,0.0,3.0,0.0,1726141127
Ukraine,Cherkasy,August,2023,3,0,3,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,September,2023,2,0,2,0,2.0,0.0,2.0,0.0,1726141127
Ukraine,Cherkasy,October,2023,2,0,2,0,5.0,0.0,5.0,0.0,1726141127
Ukraine,Cherkasy,November,2023,5,1,4,0,4.0,0.0,4.0,0.0,1726141127
Ukraine,Cherkasy,December,2023,4,0,4,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,January,2024,2,1,1,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,February,2024,4,2,2,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Cherkasy,March,2024,2,0,2,0,2.0,0.0,2.0,0.0,1726141127
Ukraine,Cherkasy,April,2024,3,1,2,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Cherkasy,May,2024,6,2,4,0,3.0,0.0,3.0,0.0,1726141127
Ukraine,Cherkasy,June,2024,2,0,2,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Cherkasy,July,2024,14,0,14,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Cherkasy,August,2024,1,0,1,0,3.0,0.0,3.0,0.0,1726141127
Ukraine,Chernihiv,March,2023,71,5,60,6,72.0,0.0,72.0,0.0,1726141127
Ukraine,Chernihiv,April,2023,55,2,53,0,88.0,0.0,88.0,0.0,1726141127
Ukraine,Chernihiv,May,2023,83,0,82,0,137.0,0.0,137.0,0.0,1726141127
Ukraine,Chernihiv,June,2023,135,0,135,0,97.0,0.0,97.0,0.0,1726141127
Ukraine,Chernihiv,July,2023,95,0,95,0,81.0,0.0,81.0,0.0,1726141127
Ukraine,Chernihiv,August,2023,85,0,85,0,148.0,0.0,148.0,0.0,1726141127
Ukraine,Chernihiv,September,2023,129,0,129,0,124.0,0.0,124.0,0.0,1726141127
Ukraine,Chernihiv,October,2023,124,1,123,0,91.0,0.0,91.0,0.0,1726141127
Ukraine,Chernihiv,November,2023,95,1,94,0,97.0,0.0,97.0,0.0,1726141127
Ukraine,Chernihiv,December,2023,94,0,94,0,75.0,0.0,75.0,0.0,1726141127
Ukraine,Chernihiv,January,2024,76,1,75,0,80.0,0.0,80.0,0.0,1726141127
Ukraine,Chernihiv,February,2024,82,2,80,0,85.0,0.0,85.0,0.0,1726141127
Ukraine,Chernihiv,March,2024,81,0,81,0,149.0,0.0,149.0,0.0,1726141127
Ukraine,Chernihiv,April,2024,131,1,130,0,109.0,0.0,109.0,0.0,1726141127
Ukraine,Chernihiv,May,2024,110,2,108,0,104.0,0.0,104.0,0.0,1726141127
Ukraine,Chernihiv,June,2024,97,0,97,0,57.0,0.0,57.0,0.0,1726141127
Ukraine,Chernihiv,July,2024,85,0,85,0,78.0,1.0,77.0,0.0,1726141127
Ukraine,Chernihiv,August,2024,70,0,70,0,68.0,0.0,68.0,0.0,1726141127
Ukraine,Chernivtsi,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Chernivtsi,April,2023,3,2,0,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Chernivtsi,May,2023,1,0,0,0,1.0,0.0,1.0,0.0,1726141127
Ukraine,Chernivtsi,June,2023,2,0,2,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Chernivtsi,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141127
Ukraine,Chernivtsi,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141127
