country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Uzbekistan,Andizhan,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Andizhan,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Bukhara,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Dzhizak,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Dzhizak,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Fergana,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,August,2023,0,0,0,0,2.0,0.0,0.0,2.0,1726141132
Uzbekistan,Fergana,September,2023,2,0,0,2,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Fergana,October,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,May,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Fergana,June,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Fergana,July,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Fergana,August,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,May,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Kashkadarya,June,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Kashkadarya,August,2023,1,0,0,1,1.0,0.0,0.0,1.0,1726141132
Uzbekistan,Kashkadarya,September,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
Uzbekistan,Kashkadarya,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141132
