country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Venezuela,Amazonas,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141133
Venezuela,Amazonas,May,2023,1,0,0,1,1.0,1.0,0.0,0.0,1726141133
Venezuela,Amazonas,June,2023,2,1,0,1,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,September,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141133
Venezuela,Amazonas,October,2023,2,1,0,1,1.0,0.0,0.0,1.0,1726141133
Venezuela,Amazonas,November,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Amazonas,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,March,2023,1,1,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,April,2023,0,0,0,0,1.0,1.0,0.0,0.0,1726141133
Venezuela,Anzoategui,May,2023,1,1,0,1,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141133
Venezuela,Anzoategui,October,2023,0,0,0,0,2.0,1.0,0.0,1.0,1726141133
