country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Yemen,Abyan,March,2023,13,3,6,4,15.0,4.0,10.0,1.0,1726141135
Yemen,Abyan,April,2023,11,4,5,1,22.0,15.0,6.0,1.0,1726141135
Yemen,Abyan,May,2023,15,7,7,1,15.0,11.0,2.0,2.0,1726141135
Yemen,Abyan,June,2023,16,10,3,2,13.0,7.0,5.0,1.0,1726141135
Yemen,Abyan,July,2023,10,7,2,1,27.0,16.0,9.0,2.0,1726141135
Yemen,Abyan,August,2023,24,14,8,2,25.0,14.0,8.0,3.0,1726141135
Yemen,Abyan,September,2023,21,11,7,3,15.0,7.0,4.0,4.0,1726141135
Yemen,Abyan,October,2023,13,7,2,4,9.0,4.0,4.0,1.0,1726141135
Yemen,Abyan,November,2023,9,4,4,1,6.0,1.0,4.0,1.0,1726141135
Yemen,Abyan,December,2023,7,3,3,1,1.0,0.0,1.0,0.0,1726141135
Yemen,Abyan,January,2024,3,1,1,1,6.0,0.0,6.0,0.0,1726141135
Yemen,Abyan,February,2024,5,0,5,0,9.0,3.0,4.0,2.0,1726141135
Yemen,Abyan,March,2024,9,2,5,2,7.0,4.0,2.0,1.0,1726141135
Yemen,Abyan,April,2024,6,3,2,1,12.0,3.0,6.0,3.0,1726141135
Yemen,Abyan,May,2024,10,3,5,2,10.0,2.0,5.0,3.0,1726141135
Yemen,Abyan,June,2024,11,3,5,3,15.0,11.0,4.0,0.0,1726141135
Yemen,Abyan,July,2024,10,5,4,1,11.0,7.0,3.0,1.0,1726141135
Yemen,Abyan,August,2024,10,6,3,1,10.0,5.0,3.0,2.0,1726141135
Yemen,Ad Dali,March,2023,8,3,3,2,17.0,10.0,6.0,1.0,1726141135
Yemen,Ad Dali,April,2023,10,6,3,1,10.0,2.0,8.0,0.0,1726141135
Yemen,Ad Dali,May,2023,8,1,7,0,11.0,3.0,4.0,4.0,1726141135
Yemen,Ad Dali,June,2023,10,3,4,3,15.0,3.0,8.0,4.0,1726141135
Yemen,Ad Dali,July,2023,12,3,5,4,19.0,7.0,8.0,4.0,1726141135
Yemen,Ad Dali,August,2023,18,7,7,4,10.0,6.0,2.0,2.0,1726141135
Yemen,Ad Dali,September,2023,10,6,2,2,12.0,5.0,4.0,3.0,1726141135
Yemen,Ad Dali,October,2023,10,5,2,3,15.0,10.0,5.0,0.0,1726141135
Yemen,Ad Dali,November,2023,14,8,5,1,10.0,2.0,8.0,0.0,1726141135
Yemen,Ad Dali,December,2023,11,4,7,0,6.0,2.0,4.0,0.0,1726141135
Yemen,Ad Dali,January,2024,11,4,6,1,8.0,1.0,5.0,2.0,1726141135
Yemen,Ad Dali,February,2024,8,1,5,2,2.0,0.0,2.0,0.0,1726141135
Yemen,Ad Dali,March,2024,3,1,2,0,16.0,10.0,5.0,1.0,1726141135
Yemen,Ad Dali,April,2024,11,6,4,1,9.0,4.0,4.0,1.0,1726141135
Yemen,Ad Dali,May,2024,7,3,3,1,6.0,1.0,4.0,1.0,1726141135
Yemen,Ad Dali,June,2024,7,2,4,1,8.0,1.0,4.0,3.0,1726141135
Yemen,Ad Dali,July,2024,9,2,4,3,8.0,1.0,3.0,4.0,1726141135
Yemen,Ad Dali,August,2024,8,1,3,4,3.0,1.0,1.0,1.0,1726141135
Yemen,Aden,March,2023,13,3,3,7,9.0,3.0,0.0,6.0,1726141135
Yemen,Aden,April,2023,12,3,3,6,3.0,1.0,0.0,2.0,1726141135
Yemen,Aden,May,2023,4,1,1,2,4.0,1.0,1.0,2.0,1726141135
Yemen,Aden,June,2023,4,1,1,2,13.0,6.0,0.0,7.0,1726141135
Yemen,Aden,July,2023,11,3,1,7,8.0,3.0,2.0,3.0,1726141135
Yemen,Aden,August,2023,8,3,2,3,14.0,5.0,2.0,7.0,1726141135
Yemen,Aden,September,2023,12,4,2,6,8.0,2.0,2.0,4.0,1726141135
Yemen,Aden,October,2023,7,2,1,4,2.0,0.0,1.0,1.0,1726141135
Yemen,Aden,November,2023,3,0,1,2,8.0,5.0,0.0,3.0,1726141135
Yemen,Aden,December,2023,5,2,0,3,10.0,8.0,0.0,2.0,1726141135
Yemen,Aden,January,2024,9,5,1,3,4.0,3.0,0.0,1.0,1726141135
Yemen,Aden,February,2024,5,3,1,1,5.0,2.0,1.0,2.0,1726141135
Yemen,Aden,March,2024,6,3,1,2,5.0,2.0,0.0,3.0,1726141135
Yemen,Aden,April,2024,5,2,0,3,3.0,0.0,0.0,3.0,1726141135
Yemen,Aden,May,2024,3,0,0,3,7.0,0.0,0.0,7.0,1726141135
Yemen,Aden,June,2024,7,1,0,6,9.0,3.0,0.0,6.0,1726141135
Yemen,Aden,July,2024,8,2,0,6,8.0,3.0,0.0,5.0,1726141135
Yemen,Aden,August,2024,8,3,0,5,8.0,1.0,0.0,7.0,1726141135
Yemen,Al Bayda,March,2023,3,1,2,0,1.0,0.0,1.0,0.0,1726141135
Yemen,Al Bayda,April,2023,4,1,3,0,8.0,4.0,3.0,1.0,1726141135
Yemen,Al Bayda,May,2023,5,3,1,1,6.0,1.0,1.0,4.0,1726141135
Yemen,Al Bayda,June,2023,5,1,1,3,3.0,1.0,0.0,2.0,1726141135
Yemen,Al Bayda,July,2023,5,2,1,2,1.0,0.0,0.0,1.0,1726141135
Yemen,Al Bayda,August,2023,1,0,0,1,6.0,4.0,1.0,1.0,1726141135
Yemen,Al Bayda,September,2023,5,3,1,1,5.0,1.0,3.0,1.0,1726141135
