country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Zambia,Central,March,2024,0,0,0,0,,,,,1707335525
Zambia,Central,April,2024,0,0,0,0,,,,,1707335525
Zambia,Central,May,2024,0,0,0,0,,,,,1707335525
Zambia,Central,June,2024,0,0,0,0,,,,,1707335525
Zambia,Central,July,2024,0,0,0,0,,,,,1707335525
Zambia,Copperbelt,March,2024,0,0,0,0,,,,,1707335525
Zambia,Copperbelt,April,2024,0,0,0,0,,,,,1707335525
Zambia,Copperbelt,May,2024,0,0,0,0,,,,,1707335525
Zambia,Copperbelt,June,2024,0,0,0,0,,,,,1707335525
Zambia,Copperbelt,July,2024,0,0,0,0,,,,,1707335525
Zambia,Eastern,March,2024,0,0,0,0,,,,,1707335525
Zambia,Eastern,April,2024,0,0,0,0,,,,,1707335525
Zambia,Eastern,May,2024,0,0,0,0,,,,,1707335525
Zambia,Eastern,June,2024,0,0,0,0,,,,,1707335525
Zambia,Eastern,July,2024,0,0,0,0,,,,,1707335525
Zambia,Luapula,March,2024,0,0,0,0,,,,,1707335525
Zambia,Luapula,April,2024,0,0,0,0,,,,,1707335525
Zambia,Luapula,May,2024,0,0,0,0,,,,,1707335525
Zambia,Luapula,June,2024,0,0,0,0,,,,,1707335525
Zambia,Luapula,July,2024,0,0,0,0,,,,,1707335525
Zambia,Lusaka,March,2024,1,0,0,1,,,,,1707335525
Zambia,Lusaka,April,2024,1,0,0,1,,,,,1707335525
Zambia,Lusaka,May,2024,1,0,0,1,,,,,1707335525
Zambia,Lusaka,June,2024,1,0,0,1,,,,,1707335525
Zambia,Lusaka,July,2024,1,0,0,1,,,,,1707335525
Zambia,Muchinga,March,2024,0,0,0,0,,,,,1707335525
Zambia,Muchinga,April,2024,0,0,0,0,,,,,1707335525
Zambia,Muchinga,May,2024,0,0,0,0,,,,,1707335525
Zambia,Muchinga,June,2024,0,0,0,0,,,,,1707335525
Zambia,Muchinga,July,2024,0,0,0,0,,,,,1707335525
Zambia,North-Western,March,2024,0,0,0,0,,,,,1707335526
Zambia,North-Western,April,2024,0,0,0,0,,,,,1707335526
Zambia,North-Western,May,2024,0,0,0,0,,,,,1707335526
Zambia,North-Western,June,2024,0,0,0,0,,,,,1707335526
Zambia,North-Western,July,2024,0,0,0,0,,,,,1707335526
Zambia,Northern,March,2024,0,0,0,0,,,,,1707335526
Zambia,Northern,April,2024,0,0,0,0,,,,,1707335526
Zambia,Northern,May,2024,0,0,0,0,,,,,1707335526
Zambia,Northern,June,2024,0,0,0,0,,,,,1707335526
Zambia,Northern,July,2024,0,0,0,0,,,,,1707335526
Zambia,Southern,March,2024,0,0,0,0,,,,,1707335526
Zambia,Southern,April,2024,0,0,0,0,,,,,1707335526
Zambia,Southern,May,2024,0,0,0,0,,,,,1707335526
Zambia,Southern,June,2024,0,0,0,0,,,,,1707335526
Zambia,Southern,July,2024,0,0,0,0,,,,,1707335526
Zambia,Western,March,2024,0,0,0,0,,,,,1707335526
Zambia,Western,April,2024,0,0,0,0,,,,,1707335526
Zambia,Western,May,2024,0,0,0,0,,,,,1707335526
Zambia,Western,June,2024,0,0,0,0,,,,,1707335526
Zambia,Western,July,2024,0,0,0,0,,,,,1707335526
Zambia,Central,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Central,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,April,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141137
Zambia,Copperbelt,May,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,July,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141137
Zambia,Copperbelt,August,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,November,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141137
Zambia,Copperbelt,December,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Copperbelt,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Eastern,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Luapula,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Lusaka,January,2024,0,0,0,0,1.0,0.0,0.0,1.0,1726141137
Zambia,Lusaka,February,2024,1,0,0,1,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,June,2023,0,0,0,0,1.0,0.0,0.0,1.0,1726141137
Zambia,Muchinga,July,2023,1,0,0,1,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Muchinga,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,North-Western,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Northern,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Southern,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zambia,Western,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
