country,admin1,month,year,total_forecast,battles_forecast,erv_forecast,vac_forecast,total_observed,battles_observed,erv_observed,vac_observed,timestamp
Zimbabwe,Bulawayo,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,April,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,May,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,June,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,July,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,August,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,September,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,October,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,November,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,December,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,January,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,February,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,March,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,April,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,May,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,June,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,July,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Bulawayo,August,2024,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
Zimbabwe,Harare,March,2023,0,0,0,0,0.0,0.0,0.0,0.0,1726141137
