event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
CHN1035,2019-10-04,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Beijing,39.7155,116.3534,0,8810.0,22795.0,97305.0,22795.0
CHN1079,2019-04-30,Violence against civilians,Attack,Civilian targeting,Henan,34.8028,113.3090,1,12673.0,62519.0,225179.0,225179.0
CHN1082,2019-06-15,Violence against civilians,Attack,Civilian targeting,Xinjiang,43.8325,87.6425,0,39530.0,82070.0,262880.0,82070.0
CHN1094,2019-08-23,Strategic developments,Looting/property destruction,,Hebei,36.7764,114.4962,0,24291.0,93654.0,265602.0,
CHN1155,2019-09-15,Strategic developments,Looting/property destruction,,Hubei,30.3111,112.2556,0,26048.0,86085.0,304444.0,
CHN1167,2019-10-01,Strategic developments,Change to group/activity,,Heilongjiang,45.3040,130.9809,0,6786.0,61318.0,289719.0,
CHN1175,2019-10-15,Strategic developments,Looting/property destruction,,Shandong,36.5138,120.8517,0,1881.0,6001.0,15648.0,
CHN1178,2019-10-19,Violence against civilians,Attack,Civilian targeting,Sichuan,29.5870,105.0675,0,33013.0,161883.0,543555.0,161883.0
CHN1179,2019-10-23,Strategic developments,Looting/property destruction,,Sichuan,29.5870,105.0675,0,33013.0,161883.0,543555.0,
CHN1184,2019-10-31,Strategic developments,Looting/property destruction,,Hebei,36.5355,115.2995,0,14289.0,37358.0,117102.0,
CHN1186,2019-11-02,Strategic developments,Looting/property destruction,,Shandong,35.4065,116.5951,0,37236.0,145265.0,604363.0,
CHN1191,2019-11-17,Strategic developments,Looting/property destruction,,Hebei,40.1889,117.9658,0,10160.0,57561.0,196028.0,
CHN1197,2019-12-09,Violence against civilians,Attack,Civilian targeting,Inner Mongolia,43.6231,122.2557,0,25680.0,105067.0,393307.0,105067.0
CHN1204,2019-12-26,Violence against civilians,Attack,Civilian targeting,Sichuan,30.6420,104.0434,0,68050.0,235238.0,875275.0,235238.0
CHN1554,2019-08-12,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Guangdong,23.7342,114.7025,0,28481.0,94435.0,454988.0,94435.0
CHN1816,2020-02-21,Protests,Peaceful protest,,Jiangxi,27.7988,114.4246,0,16991.0,56107.0,311106.0,16991.0
CHN1827,2020-02-26,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Hubei,30.6001,114.3090,0,18993.0,90036.0,802777.0,90036.0
CHN1845,2019-01-14,Strategic developments,Looting/property destruction,,Fujian,24.5611,118.0414,0,49906.0,145208.0,369284.0,
CHN1847,2019-01-17,Strategic developments,Looting/property destruction,,Henan,34.9034,112.5613,0,2781.0,15621.0,53825.0,
CHN1869,2019-03-11,Strategic developments,Looting/property destruction,,Henan,33.6476,114.6506,0,12447.0,67599.0,304577.0,
CHN1872,2019-06-02,Strategic developments,Arrests,,Yunnan,23.6320,102.8258,0,59159.0,127323.0,259719.0,
CHN1879,2019-09-15,Strategic developments,Change to group/activity,,Henan,35.7413,114.2987,0,37810.0,104833.0,312134.0,
CHN1945,2019-11-28,Riots,Violent demonstration,,Guangdong,21.6640,110.6396,0,54621.0,171381.0,360743.0,171381.0
CHN2032,2020-03-05,Protests,Peaceful protest,,Liaoning,41.7957,123.4589,0,30029.0,175722.0,503164.0,30029.0
CHN2230,2019-04-22,Protests,Peaceful protest,,Shanxi,37.8939,112.5703,0,48042.0,167526.0,519334.0,48042.0
CHN2434,2019-04-18,Protests,Peaceful protest,,Guizhou,27.2985,105.3051,0,70439.0,256810.0,724200.0,70439.0
CHN2591,2019-12-26,Protests,Peaceful protest,,Shaanxi,34.4434,107.6211,0,24817.0,50820.0,67511.0,24817.0
CHN2901,2019-05-21,Protests,Peaceful protest,,Sichuan,30.4104,104.5473,0,22067.0,76847.0,222479.0,22067.0
CHN3065,2020-04-09,Protests,Peaceful protest,,Hubei,30.6014,114.2708,0,78615.0,281672.0,1087207.0,78615.0
CHN3077,2019-03-04,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Sichuan,30.6420,104.0434,0,68050.0,235238.0,856775.0,235238.0
CHN3080,2019-03-06,Strategic developments,Change to group/activity,,Henan,34.7239,113.6402,0,81039.0,243657.0,804880.0,
CHN3085,2019-03-09,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Hebei,39.9460,116.8092,0,17569.0,97364.0,326728.0,97364.0
CHN3100,2019-03-15,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Zhejiang,30.2571,120.2049,0,35690.0,170364.0,309564.0,170364.0
CHN3108,2019-03-21,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Jiangsu,32.0484,118.7977,0,50908.0,190602.0,686085.0,190602.0
CHN3109,2019-03-20,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Henan,33.5874,114.0070,0,27185.0,120944.0,531224.0,120944.0
CHN3125,2019-05-16,Violence against civilians,Attack,Civilian targeting,Anhui,31.8511,117.2605,0,65503.0,212759.0,809362.0,212759.0
CHN313,2019-02-27,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Henan,32.1011,114.1256,0,45239.0,104848.0,291221.0,104848.0
CHN3164,2019-06-09,Protests,Peaceful protest,,Hong Kong,22.2931,114.1442,0,34091.0,72300.0,114378.0,34091.0
CHN333,2019-03-02,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Hebei,38.0363,114.5394,0,27273.0,143192.0,827613.0,143192.0
CHN339,2019-03-04,Protests,Protest with intervention,,Henan,34.6599,112.4284,0,35200.0,118779.0,226939.0,35200.0
CHN3481,2019-04-16,Protests,Peaceful protest,,Shanxi,38.4043,112.7459,0,21955.0,66537.0,223142.0,21955.0
CHN3583,2020-03-03,Violence against civilians,Attack,Civilian targeting,Hubei,30.6014,114.2708,0,78615.0,281672.0,965913.0,281672.0
CHN3775,2019-05-13,Protests,Protest with intervention,,Henan,34.6193,112.4641,0,30137.0,101360.0,344506.0,30137.0
CHN3794,2019-09-15,Strategic developments,Looting/property destruction,,Jiangxi,29.0117,116.6997,0,25012.0,88328.0,243344.0,
CHN3824,2019-11-28,Riots,Violent demonstration,,Guangdong,22.1034,110.4167,0,2833.0,8097.0,19524.0,8097.0
CHN3859,2020-05-12,Protests,Protest with intervention,,Jiangxi,28.6851,115.8992,0,84624.0,278999.0,965061.0,84624.0
CHN3908,2019-12-15,Strategic developments,Looting/property destruction,,Fujian,26.8857,120.0052,0,74428.0,186515.0,281230.0,
CHN4165,2019-04-25,Protests,Peaceful protest,,Yunnan,25.0437,102.7069,0,82136.0,259515.0,925369.0,82136.0
CHN4175,2019-05-01,Protests,Peaceful protest,,Macao,22.1987,113.5439,0,219951.0,437606.0,788050.0,219951.0
CHN4176,2019-05-01,Protests,Peaceful protest,,Macao,22.1987,113.5439,0,219951.0,437606.0,788050.0,219951.0
CHN418,2019-01-16,Violence against civilians,Attack,Civilian targeting,Jiangsu,32.3777,119.3980,0,33037.0,113571.0,366478.0,113571.0
CHN4253,2019-10-15,Violence against civilians,Attack,Civilian targeting,Xinjiang,46.5247,83.6283,0,9938.0,38993.0,92737.0,38993.0
CHN4324,2020-05-27,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Beijing,39.7491,116.1433,0,24180.0,60287.0,221046.0,60287.0
CHN4325,2020-05-28,Violence against civilians,Attack,Civilian targeting,Sichuan,30.6420,104.0434,0,68235.0,235855.0,1394431.0,235855.0
