event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
COL1443,2019-10-18,Violence against civilians,Attack,Civilian targeting,Narino,1.3913,-78.5193,1,3970.0,4734.0,7422.0,7422.0
COL311,2019-03-13,Protests,Peaceful protest,,Cauca,3.0161,-76.4854,0,27655.0,53877.0,60705.0,27655.0
COL318,2019-03-14,Battles,Armed clash,,Choco,5.6922,-76.6260,8,2134.0,15449.0,17514.0,17514.0
COL1324,2019-09-30,Battles,Armed clash,,Cauca,1.8210,-76.7755,0,242.0,2352.0,5269.0,5269.0
COL1550,2019-11-05,Violence against civilians,Attack,Civilian targeting,Cauca,3.1201,-76.3099,1,191.0,529.0,1645.0,1645.0
COL1554,2019-11-06,Protests,Peaceful protest,,Antioquia,7.1650,-75.7966,0,52.0,216.0,313.0,52.0
COL932,2019-07-07,Strategic developments,Other,,Norte de Santander,8.3217,-73.1460,0,1465.0,1775.0,2513.0,
COL698,2019-05-17,Violence against civilians,Attack,Civilian targeting,Antioquia,6.1472,-75.3768,1,25070.0,78268.0,119957.0,119957.0
COL1304,2019-09-25,Battles,Armed clash,,Antioquia,6.9777,-76.8175,0,1745.0,1762.0,1785.0,1785.0
COL925,2019-07-06,Explosions/Remote violence,Remote explosive/landmine/IED,,Narino,0.9609,-77.7316,0,6578.0,8183.0,17850.0,17850.0
COL1393,2019-10-11,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Choco,7.0364,-76.9522,0,0.0,0.0,0.0,0.0
COL1147,2019-08-26,Protests,Peaceful protest,,Antioquia,7.2771,-76.5638,0,480.0,815.0,1277.0,480.0
COL301,2019-03-10,Strategic developments,Other,,Antioquia,7.6663,-76.6812,0,39662.0,54166.0,55949.0,
COL1140,2019-08-25,Protests,Peaceful protest,,Antioquia,7.2771,-76.5638,0,480.0,815.0,1277.0,480.0
COL1334,2019-10-02,Violence against civilians,Attack,Civilian targeting,La Guajira,11.2570,-72.3658,1,358.0,450.0,4027.0,4027.0
COL643,2019-05-08,Riots,Violent demonstration,,Cesar,9.5639,-73.3342,0,26072.0,32618.0,32927.0,32618.0
COL1336,2019-10-02,Violence against civilians,Attack,Civilian targeting,Norte de Santander,7.8939,-72.5078,2,30014.0,129604.0,519635.0,519635.0
COL1387,2019-10-10,Violence against civilians,Attack,Civilian targeting,Risaralda,4.8057,-75.7171,0,26562.0,127687.0,303547.0,127687.0
COL1089,2019-08-13,Riots,Mob violence,Civilian targeting,Antioquia,6.2496,-75.5774,1,19402.0,117712.0,1585330.0,117712.0
COL999,2019-07-19,Riots,Mob violence,,Valle del Cauca,3.5323,-76.2986,0,29533.0,123019.0,258175.0,123019.0
COL1468,2019-10-22,Violence against civilians,Attack,Civilian targeting,Cauca,1.6825,-77.0725,0,4203.0,5101.0,11021.0,5101.0
COL1562,2019-11-09,Protests,Peaceful protest,,Tolima,4.4420,-75.4268,0,11752.0,13150.0,14970.0,11752.0
COL639,2019-05-08,Riots,Violent demonstration,,Cesar,9.2583,-73.8133,0,14354.0,14743.0,15400.0,14743.0
COL1353,2019-10-06,Protests,Peaceful protest,,Atlantico,10.9799,-74.8013,0,40807.0,187018.0,789773.0,40807.0
COL1274,2019-09-20,Protests,Peaceful protest,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,19402.0
COL479,2019-04-09,Strategic developments,Change to group/activity,,Cauca,2.3845,-77.2157,0,1216.0,1426.0,2100.0,
COL1209,2019-09-08,Protests,Peaceful protest,,Meta,2.4076,-73.2153,0,111.0,121.0,171.0,111.0
COL1286,2019-09-23,Violence against civilians,Attack,Civilian targeting,Cauca,2.7981,-76.4844,3,4037.0,6442.0,13115.0,13115.0
COL1249,2019-09-15,Violence against civilians,Attack,Civilian targeting,Antioquia,6.2496,-75.5774,2,19402.0,117712.0,1585330.0,1585330.0
COL1358,2019-10-06,Protests,Peaceful protest,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,19402.0
COL1325,2019-09-30,Protests,Peaceful protest,,Antioquia,7.5801,-75.4014,0,11533.0,14967.0,15276.0,11533.0
COL1500,2019-10-29,Riots,Violent demonstration,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,117712.0
COL1230,2019-09-12,Protests,Peaceful protest,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,19402.0
COL433,2019-04-01,Protests,Peaceful protest,,Choco,8.5114,-77.2801,0,7463.0,7549.0,7791.0,7463.0
COL1578,2019-11-12,Strategic developments,Other,,Cordoba,8.5050,-75.5078,0,8222.0,10266.0,11017.0,
COL477,2019-04-09,Strategic developments,Change to group/activity,,Cauca,2.4638,-77.2356,0,4725.0,5055.0,6742.0,
COL1430,2019-10-17,Violence against civilians,Attack,Civilian targeting,Antioquia,6.2496,-75.5774,1,19402.0,117712.0,1585330.0,1585330.0
COL1174,2019-08-31,Violence against civilians,Attack,Civilian targeting,Antioquia,6.9777,-76.8175,0,1745.0,1762.0,1785.0,1762.0
COL1567,2019-11-09,Violence against civilians,Attack,Civilian targeting,Cauca,3.0220,-76.2404,1,2299.0,3287.0,5102.0,5102.0
COL1523,2019-10-31,Protests,Peaceful protest,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,19402.0
COL997,2019-07-18,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Choco,5.6922,-76.6580,0,32897.0,96240.0,107651.0,96240.0
COL1085,2019-08-12,Violence against civilians,Attack,Civilian targeting,Cauca,3.1402,-76.2971,1,15.0,151.0,901.0,901.0
COL1390,2019-10-11,Violence against civilians,Attack,Civilian targeting,"Bogota, D.C.",4.6502,-74.1074,0,49466.0,89473.0,694534.0,89473.0
COL514,2019-04-16,Battles,Armed clash,,Cauca,2.2568,-77.2495,0,3919.0,4486.0,6278.0,6278.0
COL1566,2019-11-09,Violence against civilians,Attack,Civilian targeting,Tolima,4.7144,-75.0987,1,2628.0,2709.0,3799.0,3799.0
COL1357,2019-10-06,Riots,Mob violence,,Antioquia,6.2496,-75.5774,0,19402.0,117712.0,1585330.0,117712.0
COL1157,2019-08-28,Explosions/Remote violence,Remote explosive/landmine/IED,Civilian targeting,Antioquia,6.9777,-76.8175,0,1745.0,1762.0,1785.0,1785.0
COL1355,2019-10-06,Protests,Peaceful protest,,Bolivar,10.3917,-75.4824,0,58658.0,242298.0,772824.0,58658.0
