event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
EGY9189,2019-01-21,Strategic developments,Disrupted weapons use,,Qalyubia,30.1792,31.2056,0,52129.0,116673.0,461789.0,
EGY9063,2018-12-15,Protests,Peaceful protest,,Beni Suef,29.0744,31.0979,0,131105.0,269891.0,477011.0,131105.0
EGY9039,2018-12-10,Violence against civilians,Attack,Civilian targeting,Giza,30.0146,31.2090,1,104520.0,151656.0,522110.0,522110.0
EGY8679,2018-01-31,Battles,Armed clash,,North Sinai,31.1316,33.7984,1,19170.0,52749.0,111517.0,111517.0
EGY8645,2018-01-05,Violence against civilians,Attack,Civilian targeting,Qena,26.1642,32.7267,1,57622.0,180467.0,329428.0,329428.0
EGY8633,2018-01-01,Violence against civilians,Attack,Civilian targeting,Giza,30.0024,31.2019,2,106309.0,316975.0,971187.0,971187.0
EGY8607,2017-12-08,Protests,Peaceful protest,,Alexandria,31.1981,29.9192,0,80062.0,316360.0,443698.0,80062.0
EGY8573,2017-11-22,Explosions/Remote violence,Air/drone strike,,Matrouh,31.3525,27.2453,0,24126.0,93899.0,167836.0,167836.0
EGY8572,2017-11-22,Battles,Armed clash,,North Sinai,29.9096,33.7483,1,1445.0,1808.0,2057.0,2057.0
EGY8458,2017-08-21,Explosions/Remote violence,Air/drone strike,,Matrouh,31.3525,27.2453,0,24126.0,93899.0,167836.0,167836.0
EGY8418,2017-07-24,Explosions/Remote violence,Remote explosive/landmine/IED,,North Sinai,31.1316,33.7984,7,18774.0,51703.0,109417.0,109417.0
EGY8355,2017-06-30,Protests,Peaceful protest,,Alexandria,31.1981,29.9192,0,50070.0,267506.0,390387.0,50070.0
EGY8329,2017-06-17,Violence against civilians,Attack,Civilian targeting,Qena,26.0549,32.1633,0,61729.0,103131.0,192541.0,103131.0
EGY8325,2017-06-16,Battles,Armed clash,,Qena,26.0549,32.1633,1,61729.0,103131.0,192541.0,192541.0
EGY8327,2017-06-16,Strategic developments,Looting/property destruction,,Beni Suef,28.8263,30.8285,0,7386.0,12258.0,99384.0,
EGY8247,2017-04-26,Battles,Armed clash,,Giza,30.0173,31.2040,1,55112.0,195093.0,195093.0,195093.0
EGY8182,2017-03-29,Strategic developments,Disrupted weapons use,,Gharbia,30.7885,31.0019,0,103014.0,325636.0,775476.0,
EGY8148,2017-03-07,Protests,Peaceful protest,,Alexandria,31.0125,29.8086,0,27143.0,67145.0,260052.0,27143.0
EGY8149,2017-03-07,Protests,Peaceful protest,,Alexandria,31.1973,29.9006,0,49083.0,103568.0,103568.0,49083.0
EGY8150,2017-03-07,Protests,Peaceful protest,,Alexandria,31.1966,29.8903,0,67024.0,93632.0,110840.0,67024.0
EGY8151,2017-03-07,Protests,Peaceful protest,,Assiut,27.1810,31.1837,0,163182.0,376227.0,565614.0,163182.0
EGY8147,2017-03-07,Protests,Peaceful protest,,Alexandria,31.1289,29.8246,0,27710.0,48611.0,151074.0,27710.0
EGY8152,2017-03-07,Protests,Peaceful protest,,South Sinai,28.2364,33.6254,0,4638.0,23700.0,38943.0,4638.0
EGY8132,2017-03-06,Protests,Peaceful protest,,Assiut,27.2696,31.1510,0,86402.0,143016.0,235911.0,86402.0
EGY8135,2017-03-06,Protests,Peaceful protest,,Assiut,27.1968,31.2044,0,9176.0,64376.0,227513.0,9176.0
