event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
ETH4110,2017-12-06,Riots,Mob violence,,Oromia,9.5667,37.1000,2,17983.0,29399.0,42392.0,29399.0
ETH4034,2017-10-20,Riots,Violent demonstration,,Oromia,8.4276,36.1343,5,983.0,2154.0,12343.0,2154.0
ETH4035,2017-10-20,Riots,Violent demonstration,,Oromia,8.5833,36.1123,6,3338.0,5213.0,12870.0,5213.0
ETH3945,2017-09-12,Protests,Peaceful protest,,Oromia,9.4014,41.5600,0,30615.0,43597.0,94294.0,30615.0
ETH3946,2017-09-12,Protests,Peaceful protest,,Oromia,9.3833,41.4667,0,13587.0,30614.0,78613.0,13587.0
ETH3915,2017-08-24,Explosions/Remote violence,Grenade,Civilian targeting,Oromia,7.6667,36.8333,0,22099.0,70930.0,194290.0,194290.0
ETH3899,2017-08-23,Protests,Peaceful protest,,Oromia,7.0000,39.4000,0,10313.0,32482.0,45025.0,10313.0
ETH3900,2017-08-23,Protests,Peaceful protest,,Oromia,7.1000,39.2000,0,29775.0,60457.0,76373.0,29775.0
ETH3902,2017-08-23,Protests,Peaceful protest,,Oromia,9.0333,38.1500,0,14246.0,24897.0,34724.0,14246.0
ETH3903,2017-08-23,Protests,Peaceful protest,,Oromia,9.0319,36.6679,0,2078.0,4004.0,15252.0,2078.0
ETH3904,2017-08-23,Protests,Peaceful protest,,Oromia,7.0773,38.7871,0,39785.0,65917.0,98161.0,39785.0
ETH3901,2017-08-23,Protests,Peaceful protest,,Oromia,9.0667,38.6667,0,37772.0,115402.0,318528.0,37772.0
ETH3905,2017-08-23,Protests,Peaceful protest,,Oromia,9.5000,35.5000,0,9812.0,19531.0,29706.0,9812.0
ETH3886,2017-08-10,Battles,Armed clash,,Oromia,9.2167,42.3333,0,16372.0,53504.0,69309.0,69309.0
ETH2825,2016-02-25,Protests,Peaceful protest,,Oromia,8.7333,40.6500,0,8745.0,12973.0,37033.0,8745.0
ETH2826,2016-02-25,Protests,Peaceful protest,,Oromia,8.8167,40.5167,0,35189.0,47076.0,80739.0,35189.0
ETH2827,2016-02-25,Protests,Peaceful protest,,Oromia,3.7333,38.5833,0,5834.0,11137.0,15195.0,5834.0
ETH2804,2016-02-24,Protests,Peaceful protest,,Oromia,8.4560,36.3530,0,13998.0,26427.0,41365.0,13998.0
ETH2805,2016-02-24,Protests,Peaceful protest,,Oromia,9.9500,36.8667,0,2555.0,5890.0,13835.0,2555.0
ETH2795,2016-02-23,Protests,Peaceful protest,,Oromia,6.3667,38.6167,0,11263.0,27089.0,43899.0,11263.0
ETH2796,2016-02-23,Protests,Peaceful protest,,Oromia,9.2222,41.6894,0,5345.0,15006.0,87665.0,5345.0
ETH2742,2016-02-20,Protests,Peaceful protest,,Oromia,8.1500,39.3500,0,17718.0,26892.0,35519.0,17718.0
ETH2743,2016-02-20,Protests,Peaceful protest,,Oromia,9.0167,37.6667,0,688.0,2071.0,15002.0,688.0
ETH2718,2016-02-19,Protests,Peaceful protest,,Oromia,7.3333,38.6667,0,5684.0,30127.0,127831.0,5684.0
ETH2720,2016-02-19,Protests,Peaceful protest,,Oromia,9.0167,37.6667,0,688.0,2071.0,15002.0,688.0
ETH2695,2016-02-18,Protests,Peaceful protest,,Oromia,9.2622,41.8606,0,954.0,3410.0,16057.0,954.0
ETH2699,2016-02-18,Protests,Peaceful protest,,Oromia,9.0167,37.6667,0,688.0,2071.0,15002.0,688.0
ETH2678,2016-02-17,Protests,Peaceful protest,,Oromia,6.9833,39.1833,0,26490.0,53754.0,63269.0,26490.0
ETH2679,2016-02-17,Protests,Peaceful protest,,Oromia,7.2167,38.9167,0,6856.0,20510.0,38620.0,6856.0
ETH2666,2016-02-16,Protests,Peaceful protest,,Oromia,9.9833,36.9667,0,578.0,1910.0,8734.0,578.0
ETH2667,2016-02-16,Protests,Peaceful protest,,Oromia,6.9833,39.1833,0,26490.0,53754.0,63269.0,26490.0
ETH2669,2016-02-16,Protests,Peaceful protest,,Oromia,7.2167,38.9167,0,6856.0,20510.0,38620.0,6856.0
ETH2670,2016-02-16,Protests,Peaceful protest,,Oromia,7.2000,38.6000,0,45249.0,167279.0,318395.0,45249.0
ETH2632,2016-02-07,Protests,Peaceful protest,,Oromia,6.3667,38.6167,0,11263.0,27089.0,43899.0,11263.0
ETH2633,2016-02-07,Protests,Peaceful protest,,Oromia,9.1331,41.8389,0,20308.0,49871.0,112214.0,20308.0
ETH2619,2016-02-04,Protests,Peaceful protest,,Oromia,8.8690,42.1233,0,11079.0,14338.0,29691.0,11079.0
ETH2606,2016-01-29,Protests,Peaceful protest,,Oromia,9.1667,35.4667,0,12714.0,20064.0,35406.0,12714.0
ETH2607,2016-01-29,Protests,Peaceful protest,,Oromia,9.0833,36.5500,0,32138.0,94186.0,161418.0,32138.0
ETH2584,2016-01-24,Protests,Peaceful protest,,Oromia,8.9333,36.5833,0,1180.0,10056.0,31071.0,1180.0
ETH2585,2016-01-24,Protests,Peaceful protest,,Oromia,9.1331,41.8389,0,20308.0,49871.0,112214.0,20308.0
ETH2564,2016-01-21,Protests,Peaceful protest,,Oromia,9.0667,38.6667,0,36823.0,112424.0,322030.0,36823.0
ETH2554,2016-01-20,Protests,Peaceful protest,,Oromia,9.0667,38.6667,0,36823.0,112424.0,322030.0,36823.0
ETH2555,2016-01-20,Protests,Peaceful protest,,Oromia,9.9500,36.8667,0,2555.0,5890.0,13835.0,2555.0
ETH2544,2016-01-18,Protests,Peaceful protest,,Oromia,8.4833,38.4333,0,772.0,3126.0,12033.0,772.0
ETH2539,2016-01-17,Protests,Peaceful protest,,Oromia,9.2322,41.8231,0,5012.0,9261.0,31833.0,5012.0
ETH2535,2016-01-16,Protests,Peaceful protest,,Oromia,9.7000,37.1000,0,379.0,2122.0,8109.0,379.0
ETH2524,2016-01-14,Protests,Peaceful protest,,Oromia,7.2833,39.8167,0,4023.0,17638.0,36651.0,4023.0
ETH2525,2016-01-14,Protests,Peaceful protest,,Oromia,9.1333,37.0500,0,3733.0,24828.0,48043.0,3733.0
ETH2526,2016-01-14,Protests,Peaceful protest,,Oromia,9.0333,36.8667,0,13639.0,21084.0,33873.0,13639.0
ETH2513,2016-01-13,Protests,Peaceful protest,,Oromia,9.2500,38.4167,0,231.0,1226.0,8786.0,231.0
ETH2514,2016-01-13,Protests,Peaceful protest,,Oromia,9.1145,41.6335,0,17556.0,26578.0,68054.0,17556.0
ETH2504,2016-01-12,Protests,Peaceful protest,,Oromia,7.2000,38.6000,0,45249.0,167279.0,318395.0,45249.0
ETH2497,2016-01-11,Protests,Peaceful protest,,Oromia,8.8690,42.1233,0,11079.0,14338.0,29691.0,11079.0
ETH2495,2016-01-10,Protests,Peaceful protest,,Oromia,9.4500,37.4500,0,501.0,2588.0,11400.0,501.0
ETH2479,2016-01-08,Protests,Peaceful protest,,Oromia,9.0857,40.8671,0,11187.0,17879.0,32196.0,11187.0
ETH2450,2016-01-04,Protests,Peaceful protest,,Oromia,9.0319,36.6679,0,2018.0,3897.0,14899.0,2018.0
ETH2379,2015-12-18,Protests,Peaceful protest,,Oromia,8.4833,34.5833,0,2314.0,3462.0,8169.0,2314.0
ETH2348,2015-12-17,Protests,Peaceful protest,,Oromia,9.9500,36.8667,0,2431.0,5622.0,13326.0,2431.0
ETH2350,2015-12-17,Protests,Peaceful protest,,Oromia,9.0833,36.5500,0,31186.0,91385.0,156592.0,31186.0
ETH2351,2015-12-17,Protests,Peaceful protest,,Oromia,9.0333,36.8667,0,13130.0,20333.0,34587.0,13130.0
ETH2352,2015-12-17,Protests,Peaceful protest,,Oromia,9.1833,38.7500,0,4271.0,20287.0,38924.0,4271.0
ETH2353,2015-12-17,Protests,Peaceful protest,,Oromia,8.9500,35.4500,0,3304.0,4313.0,9684.0,3304.0
ETH2333,2015-12-16,Protests,Peaceful protest,,Oromia,9.2833,37.0333,0,2062.0,4902.0,14804.0,2062.0
ETH2335,2015-12-16,Protests,Peaceful protest,,Oromia,9.4333,42.1186,0,26861.0,50923.0,134927.0,26861.0
ETH2336,2015-12-16,Protests,Peaceful protest,,Oromia,8.2959,35.5821,0,18693.0,35635.0,55707.0,18693.0
ETH2338,2015-12-16,Protests,Peaceful protest,,Oromia,7.6333,39.8167,0,2628.0,4308.0,12423.0,2628.0
ETH2315,2015-12-15,Protests,Peaceful protest,,Oromia,9.2500,38.4167,0,225.0,1193.0,8769.0,225.0
ETH2316,2015-12-15,Protests,Peaceful protest,,Oromia,7.9500,39.1333,0,23395.0,55764.0,94065.0,23395.0
ETH2318,2015-12-15,Protests,Peaceful protest,,Oromia,9.2833,37.0333,0,2062.0,4902.0,14804.0,2062.0
ETH2319,2015-12-15,Protests,Peaceful protest,,Oromia,8.6333,38.0500,0,4181.0,11132.0,24101.0,4181.0
ETH2321,2015-12-15,Protests,Peaceful protest,,Oromia,8.9167,35.3500,0,4811.0,7984.0,18120.0,4811.0
ETH2324,2015-12-15,Protests,Peaceful protest,,Oromia,8.5333,38.6167,0,1700.0,5118.0,14657.0,1700.0
ETH2317,2015-12-15,Protests,Peaceful protest,,Oromia,9.1000,35.4000,0,5651.0,11435.0,22800.0,5651.0
ETH2322,2015-12-15,Protests,Peaceful protest,,Oromia,8.4833,34.5833,0,2314.0,3462.0,8169.0,2314.0
ETH2323,2015-12-15,Protests,Peaceful protest,,Oromia,9.5667,37.1000,0,16891.0,27623.0,39962.0,16891.0
ETH2293,2015-12-14,Protests,Peaceful protest,,Oromia,8.9833,37.8500,0,21369.0,43275.0,75276.0,21369.0
ETH2294,2015-12-14,Protests,Peaceful protest,,Oromia,8.7500,36.5000,0,7122.0,12781.0,27324.0,7122.0
ETH2300,2015-12-14,Protests,Peaceful protest,,Oromia,8.5333,34.8000,0,21542.0,38538.0,64170.0,21542.0
ETH2302,2015-12-14,Protests,Peaceful protest,,Oromia,9.5667,35.3833,0,467.0,1495.0,12557.0,467.0
ETH2305,2015-12-14,Protests,Peaceful protest,,Oromia,8.9167,35.3500,0,4811.0,7984.0,18120.0,4811.0
ETH2295,2015-12-14,Protests,Peaceful protest,,Oromia,9.5667,38.0333,0,2076.0,5698.0,18171.0,2076.0
ETH2297,2015-12-14,Protests,Peaceful protest,,Oromia,9.1333,37.0500,0,3629.0,24105.0,46682.0,3629.0
ETH2301,2015-12-14,Protests,Peaceful protest,,Oromia,9.0667,38.6667,0,35907.0,109587.0,313650.0,35907.0
ETH2303,2015-12-14,Protests,Peaceful protest,,Oromia,8.5833,37.6833,0,625.0,2539.0,13458.0,625.0
ETH2304,2015-12-14,Protests,Peaceful protest,,Oromia,9.4500,37.4500,0,490.0,2521.0,11107.0,490.0
ETH2306,2015-12-14,Protests,Peaceful protest,,Oromia,9.8000,35.1000,0,13649.0,23274.0,29729.0,13649.0
ETH2307,2015-12-14,Protests,Peaceful protest,,Oromia,9.5000,35.5000,0,9172.0,18256.0,27842.0,9172.0
ETH2308,2015-12-14,Protests,Peaceful protest,,Oromia,9.5667,37.1000,0,16891.0,27623.0,39962.0,16891.0
ETH2282,2015-12-13,Protests,Peaceful protest,,Oromia,8.4833,38.4333,0,743.0,3032.0,11695.0,743.0
ETH2283,2015-12-13,Protests,Peaceful protest,,Oromia,9.3833,38.0167,0,3676.0,9919.0,20523.0,3676.0
ETH2284,2015-12-13,Protests,Peaceful protest,,Oromia,8.5333,38.6167,0,1700.0,5118.0,14657.0,1700.0
ETH2268,2015-12-12,Protests,Peaceful protest,,Oromia,7.0000,39.4000,0,9653.0,30402.0,42265.0,9653.0
ETH2269,2015-12-12,Protests,Peaceful protest,,Oromia,7.2833,39.8167,0,3905.0,17075.0,35549.0,3905.0
ETH2271,2015-12-12,Protests,Peaceful protest,,Oromia,6.9833,39.1833,0,25372.0,51526.0,60766.0,25372.0
ETH2272,2015-12-12,Protests,Peaceful protest,,Oromia,7.6667,36.8333,0,20821.0,67199.0,183598.0,20821.0
ETH2273,2015-12-12,Protests,Peaceful protest,,Oromia,9.4375,41.7781,0,1956.0,10011.0,42987.0,1956.0
ETH2274,2015-12-12,Protests,Peaceful protest,,Oromia,9.6001,39.1334,0,154.0,822.0,5009.0,154.0
ETH2251,2015-12-11,Protests,Peaceful protest,,Oromia,9.2622,41.8606,0,929.0,3322.0,23135.0,929.0
ETH2252,2015-12-11,Protests,Peaceful protest,,Oromia,6.9833,39.1833,0,25372.0,51526.0,60766.0,25372.0
ETH2254,2015-12-11,Protests,Peaceful protest,,Oromia,9.0833,41.7500,0,566.0,9095.0,47043.0,566.0
ETH2256,2015-12-11,Protests,Peaceful protest,,Oromia,7.6667,36.8333,0,20821.0,67199.0,183598.0,20821.0
ETH2257,2015-12-11,Protests,Peaceful protest,,Oromia,9.8000,35.1000,0,13649.0,23274.0,29729.0,13649.0
ETH2258,2015-12-11,Protests,Peaceful protest,,Oromia,9.2351,40.7548,0,12039.0,18820.0,25264.0,12039.0
ETH2259,2015-12-11,Protests,Peaceful protest,,Oromia,8.8833,37.7500,0,1777.0,4372.0,18316.0,1777.0
ETH2260,2015-12-11,Protests,Peaceful protest,,Oromia,8.7833,37.2500,0,690.0,6587.0,24618.0,690.0
ETH2249,2015-12-11,Protests,Peaceful protest,,Oromia,8.4560,36.3530,0,13638.0,25715.0,40227.0,13638.0
ETH2250,2015-12-11,Protests,Peaceful protest,,Oromia,8.6094,37.9227,0,4610.0,6629.0,19754.0,4610.0
ETH2253,2015-12-11,Protests,Peaceful protest,,Oromia,9.0000,37.3167,0,3497.0,14815.0,27951.0,3497.0
ETH2255,2015-12-11,Protests,Peaceful protest,,Oromia,7.3667,40.2167,0,530.0,3645.0,21112.0,530.0
ETH2223,2015-12-10,Protests,Peaceful protest,,Oromia,7.1000,39.2000,0,28135.0,56956.0,71993.0,28135.0
ETH2227,2015-12-10,Protests,Peaceful protest,,Oromia,8.6094,37.9227,0,4610.0,6629.0,19754.0,4610.0
ETH2228,2015-12-10,Protests,Peaceful protest,,Oromia,9.3333,37.9500,0,3694.0,5105.0,15945.0,3694.0
ETH2230,2015-12-10,Protests,Peaceful protest,,Oromia,6.9833,39.1833,0,25372.0,51526.0,60766.0,25372.0
ETH2232,2015-12-10,Protests,Peaceful protest,,Oromia,3.7333,38.5833,0,5484.0,10491.0,14472.0,5484.0
ETH2233,2015-12-10,Protests,Peaceful protest,,Oromia,8.9167,35.3500,0,4811.0,7984.0,18120.0,4811.0
ETH2234,2015-12-10,Protests,Peaceful protest,,Oromia,8.4833,38.4333,0,743.0,3032.0,11695.0,743.0
ETH2235,2015-12-10,Protests,Peaceful protest,,Oromia,5.3167,39.5833,0,2307.0,42738.0,127747.0,2307.0
ETH2221,2015-12-10,Protests,Peaceful protest,,Oromia,8.9833,37.8500,0,21369.0,43275.0,75276.0,21369.0
ETH2222,2015-12-10,Protests,Peaceful protest,,Oromia,9.9833,36.9667,0,562.0,1859.0,8499.0,562.0
ETH2225,2015-12-10,Protests,Peaceful protest,,Oromia,9.6667,37.0833,0,3531.0,5434.0,13485.0,3531.0
ETH2231,2015-12-10,Protests,Peaceful protest,,Oromia,8.5833,37.6833,0,625.0,2539.0,13458.0,625.0
ETH2236,2015-12-10,Protests,Peaceful protest,,Oromia,9.6001,39.1334,0,154.0,822.0,5009.0,154.0
ETH2197,2015-12-09,Protests,Peaceful protest,,Oromia,7.0000,39.4000,0,9653.0,30402.0,42265.0,9653.0
