event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
IRN838,2018-04-16,Strategic developments,Disrupted weapons use,,Sistan and Baluchestan,29.4963,60.8629,0,26316.0,93166.0,496156.0,
IRN410,2018-01-27,Protests,Peaceful protest,,Hamadan,34.1548,49.0112,0,2067.0,2155.0,5385.0,2067.0
IRN340,2018-01-05,Protests,Peaceful protest,,Mazandaran,36.5633,53.0601,0,10246.0,58352.0,265248.0,10246.0
IRN338,2018-01-05,Protests,Peaceful protest,,Kerman,30.2832,57.0788,0,7943.0,63470.0,292570.0,7943.0
IRN176,2017-12-08,Protests,Peaceful protest,,Qom,34.6401,50.8764,0,39896.0,119636.0,690092.0,39896.0
IRN137,2017-08-07,Violence against civilians,Attack,Civilian targeting,Sistan and Baluchestan,25.2919,60.6430,2,31122.0,74180.0,147411.0,147411.0
IRN129,2017-07-27,Battles,Armed clash,,Khuzestan,32.4449,48.4425,0,4521.0,5308.0,13020.0,13020.0
IRN123,2017-07-15,Battles,Armed clash,,Sistan and Baluchestan,27.3709,62.3310,3,10194.0,46899.0,73503.0,73503.0
IRN115,2017-06-25,Strategic developments,Arrests,,Kermanshah,34.3142,47.0650,0,29158.0,107552.0,425702.0,
IRN92,2017-06-09,Battles,Armed clash,,Khuzestan,31.2800,49.6035,22,13487.0,40370.0,76274.0,76274.0
IRN86,2017-05-27,Battles,Armed clash,,West Azerbaijan,37.5527,45.0761,2,12151.0,64344.0,360514.0,360514.0
IRN69,2017-04-06,Battles,Armed clash,,Kerman,31.2656,56.8055,2,7954.0,21226.0,29258.0,29258.0
IRN65,2017-03-11,Protests,Peaceful protest,,Qazvin,36.2688,50.0041,0,30144.0,82733.0,237073.0,30144.0
IRN38,2017-02-23,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN37,2017-02-22,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN36,2017-02-21,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN34,2017-02-20,Protests,Peaceful protest,,East Azerbaijan,38.0800,46.2919,0,13102.0,90467.0,541569.0,13102.0
IRN35,2017-02-20,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN32,2017-02-19,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN30,2017-02-18,Protests,Protest with intervention,,Isfahan,32.6525,51.6746,0,15801.0,66427.0,436385.0,15801.0
IRN31,2017-02-18,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN29,2017-02-17,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN28,2017-02-16,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN27,2017-02-15,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
IRN26,2017-02-14,Protests,Peaceful protest,,Khuzestan,31.3190,48.6842,0,18025.0,68881.0,388651.0,18025.0
