event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
ISR680,2018-07-14,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.5250,34.5969,0,14200.0,26895.0,27302.0,27302.0
ISR475,2018-06-12,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,41379.0,122273.0,185366.0,41379.0
ISR430,2018-05-25,Riots,Violent demonstration,,Haifa,32.4921,34.8922,0,1175.0,2583.0,14664.0,2583.0
ISR362,2018-03-23,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,14028.0,14028.0,14028.0,14028.0
ISR355,2018-03-06,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,14028.0,14028.0,14028.0,14028.0
ISR350,2018-02-17,Explosions/Remote violence,Shelling/artillery/missile attack,Civilian targeting,HaDarom,31.5570,34.6020,0,827.0,843.0,2051.0,2051.0
ISR332,2018-01-20,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,40405.0,136061.0,239881.0,40405.0
ISR318,2018-01-03,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.3749,34.3984,0,328.0,347.0,1550.0,1550.0
ISR310,2017-12-31,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,133062.0,277063.0,40653.0
ISR298,2017-12-17,Explosions/Remote violence,Shelling/artillery/missile attack,Civilian targeting,HaMerkaz,32.0357,34.9565,0,20.0,21039.0,68218.0,68218.0
ISR293,2017-12-14,Riots,Violent demonstration,,Jerusalem,31.7690,35.2163,0,13782.0,13782.0,13782.0,13782.0
ISR256,2017-11-04,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,13782.0,13782.0,13782.0
ISR220,2017-09-03,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR205,2017-08-08,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.6693,34.5715,0,19169.0,72430.0,146948.0,146948.0
ISR204,2017-08-05,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR202,2017-08-03,Protests,Peaceful protest,,HaDarom,31.0708,35.0327,0,8139.0,25275.0,30139.0,8139.0
ISR196,2017-07-27,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,13782.0,13782.0,13782.0
ISR150,2017-05-27,Protests,Peaceful protest,,HaMerkaz,32.0136,34.8866,0,56.0,1584.0,31045.0,56.0
ISR141,2017-05-17,Violence against civilians,Attack,Civilian targeting,HaMerkaz,32.1521,34.9283,0,2608.0,8478.0,134142.0,8478.0
ISR112,2017-04-04,Protests,Peaceful protest,,Tel Aviv,32.0550,34.8579,0,17820.0,57760.0,84628.0,17820.0
ISR86,2017-03-15,Protests,Peaceful protest,,HaMerkaz,31.8146,34.7800,0,12832.0,29103.0,48334.0,12832.0
ISR87,2017-03-15,Protests,Peaceful protest,,HaDarom,31.5076,34.5987,0,715.0,953.0,2691.0,715.0
ISR89,2017-03-15,Protests,Peaceful protest,,HaDarom,31.5250,34.5969,0,13951.0,28250.0,31641.0,13951.0
ISR76,2017-03-01,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.6693,34.5715,0,19169.0,72430.0,146948.0,146948.0
ISR70,2017-02-19,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,23806.0,38195.0,51517.0,23806.0
ISR67,2017-02-14,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,23806.0,38195.0,51517.0,23806.0
ISR66,2017-02-12,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,23806.0,38195.0,51517.0,23806.0
ISR612,2016-12-04,Protests,Peaceful protest,,HaMerkaz,32.3331,35.0127,0,5652.0,11339.0,22144.0,5652.0
ISR613,2016-12-04,Protests,Peaceful protest,,HaZafon,33.1572,35.6062,0,78.0,1265.0,3574.0,78.0
ISR615,2016-12-04,Protests,Peaceful protest,,HaZafon,32.6539,35.1038,0,4728.0,11346.0,27550.0,4728.0
ISR605,2016-10-20,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,39886.0,117873.0,178668.0,39886.0
ISR604,2016-10-19,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,39886.0,117873.0,178668.0,39886.0
ISR596,2016-09-14,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.2991,34.4275,0,567.0,693.0,2318.0,2318.0
ISR589,2016-09-01,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,39886.0,130555.0,393063.0,39886.0
ISR519,2016-01-15,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,39886.0,130555.0,455855.0,39886.0
ISR1187,2019-04-04,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,34576.0,79538.0,108749.0,34576.0
ISR1188,2019-04-04,Protests,Peaceful protest,,HaMerkaz,32.1836,34.8739,0,34913.0,60873.0,106955.0,34913.0
ISR1299,2019-06-13,Strategic developments,Disrupted weapons use,,HaDarom,31.2991,34.4275,0,598.0,731.0,1968.0,
ISR104,2017-03-28,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR109,2017-04-01,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR114,2017-04-08,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR116,2017-04-15,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR119,2017-04-20,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,19248.0,19248.0,13782.0
ISR121,2017-04-22,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR1220,2019-03-19,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.3850,34.4590,0,464.0,474.0,526.0,526.0
ISR127,2017-04-29,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR132,2017-05-06,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR134,2017-05-09,Strategic developments,Looting/property destruction,,Tel Aviv,32.0807,34.8338,0,92567.0,199613.0,302415.0,
ISR136,2017-05-12,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR139,2017-05-13,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,233927.0,39700.0
ISR142,2017-05-18,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR145,2017-05-22,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,19248.0,19248.0,13782.0
ISR163,2017-06-12,Protests,Peaceful protest,,HaMerkaz,32.0136,34.8866,0,56.0,1584.0,31045.0,56.0
ISR200,2017-08-02,Protests,Peaceful protest,,HaDarom,31.0708,35.0327,0,8139.0,25275.0,30139.0,8139.0
ISR214,2017-08-27,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,13782.0,13782.0,13782.0
ISR219,2017-09-02,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,235687.0,39700.0
ISR224,2017-09-12,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR227,2017-09-18,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,13782.0,13782.0,13782.0,13782.0
ISR231,2017-09-29,Protests,Protest with intervention,,Haifa,32.4419,34.9039,0,4851.0,47288.0,88630.0,4851.0
ISR232,2017-10-01,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR233,2017-10-03,Protests,Peaceful protest,,HaMerkaz,31.9710,34.7894,0,13881.0,104423.0,254516.0,13881.0
ISR26,2017-01-21,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,239927.0,39700.0
ISR269,2017-11-22,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,133062.0,277063.0,40653.0
ISR27,2017-01-21,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR300,2017-12-18,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.5250,34.5969,0,13951.0,28250.0,31641.0,31641.0
ISR304,2017-12-25,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,133062.0,277063.0,40653.0
ISR309,2017-12-30,Protests,Peaceful protest,,HaZafon,32.9544,35.2120,0,8181.0,12950.0,22454.0,8181.0
ISR313,2017-12-23,Protests,Peaceful protest,,HaZafon,32.9689,35.5426,0,1698.0,8466.0,32131.0,1698.0
ISR314,2017-12-23,Protests,Peaceful protest,,HaZafon,32.7922,35.5312,0,19395.0,31574.0,46473.0,19395.0
ISR315,2017-12-23,Protests,Peaceful protest,,HaZafon,32.6091,35.2892,0,20716.0,33694.0,53751.0,20716.0
ISR319,2018-01-06,Protests,Peaceful protest,,Haifa,32.8184,34.9885,0,17480.0,58516.0,186697.0,17480.0
ISR32,2017-01-28,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,239927.0,39700.0
ISR320,2018-01-06,Protests,Peaceful protest,,HaZafon,32.6091,35.2892,0,21081.0,34290.0,54708.0,21081.0
ISR33,2017-01-28,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR338,2018-01-27,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,41379.0,122273.0,185366.0,41379.0
ISR345,2018-02-08,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,41379.0,122273.0,185366.0,41379.0
ISR352,2018-02-22,Protests,Peaceful protest,,HaDarom,30.8765,34.4597,0,13.0,102.0,689.0,13.0
ISR376,2018-04-04,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,14028.0,14028.0,14028.0,14028.0
ISR40,2017-02-02,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR409,2018-05-07,Riots,Mob violence,Civilian targeting,HaZafon,33.2073,35.5720,0,7516.0,20927.0,25444.0,20927.0
ISR420,2018-05-18,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,24232.0,33314.0,33314.0,24232.0
ISR425,2018-05-20,Protests,Peaceful protest,,HaDarom,31.3257,34.6974,0,232.0,922.0,3554.0,232.0
ISR426,2018-05-20,Protests,Peaceful protest,,HaDarom,30.8765,34.4597,0,13.0,102.0,689.0,13.0
ISR43,2017-02-04,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,40653.0,120134.0,182112.0,40653.0
ISR44,2017-02-04,Protests,Peaceful protest,,HaMerkaz,32.0871,34.8875,0,39700.0,133719.0,239927.0,39700.0
ISR511,2016-01-01,Violence against civilians,Attack,Civilian targeting,Tel Aviv,32.0809,34.7806,2,39886.0,130555.0,455855.0,455855.0
ISR539,2016-03-14,Explosions/Remote violence,Shelling/artillery/missile attack,,HaDarom,31.5250,34.5969,0,13688.0,28234.0,32416.0,32416.0
ISR541,2016-03-28,Protests,Peaceful protest,,Jerusalem,31.7307,34.9929,0,27505.0,51827.0,138208.0,27505.0
ISR551,2016-04-19,Protests,Peaceful protest,,Jerusalem,31.7690,35.2163,0,23358.0,37474.0,58470.0,23358.0
ISR567,2016-05-28,Protests,Peaceful protest,,Tel Aviv,32.0809,34.7806,0,39886.0,130555.0,393063.0,39886.0
