event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
PHL4516,2018-02-23,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,73577.0,180750.0,355749.0,73577.0
PHL2398,2017-02-25,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21635.0,100062.0,343482.0,21635.0
PHL5747,2016-07-19,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5724,2016-05-30,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5699,2016-04-21,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5674,2016-03-03,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5664,2016-02-24,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,51926.0,207530.0,713601.0,51926.0
PHL5665,2016-02-24,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5694,2016-04-18,Strategic developments,Looting/property destruction,,Central Luzon,15.4801,120.5979,0,17560.0,76946.0,213772.0,
PHL2175,2017-01-16,Violence against civilians,Attack,Civilian targeting,Davao Region,7.0731,125.6128,1,72712.0,178476.0,521364.0,521364.0
PHL7155,2019-01-30,Explosions/Remote violence,Grenade,Civilian targeting,Zamboanga Peninsula,6.9102,122.0738,2,35855.0,105952.0,408002.0,408002.0
PHL8466,2019-05-12,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,0,53969.0,215554.0,653845.0,215554.0
PHL156,2016-02-23,Violence against civilians,Attack,Civilian targeting,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,176120.0
PHL164,2016-02-25,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,1,51926.0,207530.0,713601.0,713601.0
PHL182,2016-03-01,Battles,Armed clash,,Zamboanga Peninsula,6.9102,122.0738,1,34420.0,101950.0,392752.0,392752.0
PHL197,2016-03-13,Strategic developments,Disrupted weapons use,,Zamboanga Peninsula,6.9102,122.0738,0,34420.0,101950.0,392752.0,
PHL201,2016-03-15,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.1061,123.6402,1,15871.0,40049.0,108927.0,108927.0
PHL202,2016-03-15,Strategic developments,Arrests,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,
PHL2062,2016-12-20,Violence against civilians,Attack,Civilian targeting,Cagayan Valley,17.1485,121.8892,2,10735.0,14167.0,62589.0,62589.0
PHL209,2016-03-15,Explosions/Remote violence,Remote explosive/landmine/IED,,Bicol Region,12.3716,123.6249,0,29467.0,50497.0,70926.0,70926.0
PHL2152,2017-01-10,Battles,Armed clash,,Calabarzon,14.3595,121.0473,0,53713.0,163793.0,369948.0,369948.0
PHL217,2016-03-17,Violence against civilians,Attack,Civilian targeting,Zamboanga Peninsula,6.9102,122.0738,1,34420.0,101950.0,392752.0,392752.0
PHL2176,2017-01-16,Explosions/Remote violence,Grenade,Civilian targeting,Calabarzon,14.3595,121.0473,1,53713.0,163793.0,369948.0,369948.0
PHL2283,2017-02-06,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL2293,2017-02-06,Violence against civilians,Attack,Civilian targeting,Caraga,9.7890,125.4950,0,33012.0,67632.0,103835.0,67632.0
PHL2574,2017-03-27,Protests,Peaceful protest,,Central Luzon,15.4801,120.5979,0,17792.0,77978.0,216613.0,17792.0
PHL2603,2017-04-01,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL2628,2017-04-05,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL2771,2017-05-01,Protests,Peaceful protest,,Calabarzon,13.7567,121.0584,0,30300.0,89036.0,186429.0,30300.0
PHL2776,2017-05-01,Protests,Peaceful protest,,Calabarzon,14.3294,120.9366,0,36642.0,105807.0,453746.0,36642.0
PHL2777,2017-05-01,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL2781,2017-05-01,Protests,Peaceful protest,,Calabarzon,14.3426,121.0807,0,85876.0,184732.0,245289.0,85876.0
PHL2785,2017-05-01,Protests,Peaceful protest,,Calabarzon,14.3595,121.0473,0,53713.0,163793.0,330314.0,53713.0
PHL2897,2017-05-10,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21635.0,100062.0,343482.0,21635.0
PHL2921,2017-05-12,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL3094,2017-06-06,Protests,Peaceful protest,,Central Luzon,15.4801,120.5979,0,17792.0,77978.0,216613.0,17792.0
PHL3146,2017-06-12,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25308.0,51305.0,135918.0,25308.0
PHL3147,2017-06-12,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL317,2016-04-18,Battles,Armed clash,,Davao Region,7.0731,125.6128,3,71815.0,176120.0,514514.0,514514.0
PHL3456,2017-07-24,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25308.0,51305.0,135918.0,25308.0
PHL3457,2017-07-24,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL3458,2017-07-24,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3657,2017-08-18,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21635.0,100062.0,343482.0,21635.0
PHL3957,2017-09-27,Violence against civilians,Attack,Civilian targeting,Bicol Region,12.3716,123.6249,1,29857.0,51170.0,72183.0,72183.0
PHL423,2016-05-16,Violence against civilians,Attack,Civilian targeting,Northern Mindanao,8.8333,125.1167,1,9213.0,30407.0,59267.0,59267.0
PHL434,2016-05-22,Violence against civilians,Attack,Civilian targeting,Western Visayas,10.9447,123.4241,2,10141.0,14243.0,25504.0,25504.0
PHL4572,2018-03-08,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25624.0,51946.0,137638.0,25624.0
PHL4745,2018-04-10,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53299.0,212945.0,645977.0,53299.0
PHL4825,2018-04-30,Violence against civilians,Attack,Civilian targeting,Central Visayas,9.3064,123.3066,1,17898.0,46297.0,150128.0,150128.0
PHL4834,2018-05-01,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53299.0,212945.0,645977.0,53299.0
PHL4837,2018-05-01,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21917.0,101346.0,358542.0,21917.0
PHL5113,2018-06-12,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53299.0,212945.0,645977.0,53299.0
PHL5338,2018-07-23,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21917.0,101346.0,358542.0,21917.0
PHL5339,2018-07-23,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25624.0,51946.0,137638.0,25624.0
PHL5342,2018-07-23,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53299.0,212945.0,645977.0,53299.0
PHL5344,2018-07-23,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,73577.0,180750.0,355749.0,73577.0
PHL556,2016-07-02,Violence against civilians,Attack,Civilian targeting,Caraga,9.7890,125.4950,0,32594.0,66733.0,105416.0,66733.0
PHL5827,2018-09-21,Protests,Peaceful protest,,Calabarzon,14.4590,120.9290,0,17727.0,105778.0,147206.0,17727.0
PHL87,2016-02-07,Violence against civilians,Attack,Civilian targeting,Zamboanga Peninsula,6.9102,122.0738,0,34420.0,101950.0,392752.0,101950.0
PHL5710,2016-05-01,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,51926.0,207530.0,713601.0,51926.0
PHL5712,2016-05-01,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,71815.0,176120.0,514514.0,71815.0
PHL5711,2016-05-01,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,21339.0,98730.0,349421.0,21339.0
PHL5783,2016-12-04,Violence against civilians,Attack,Civilian targeting,Central Luzon,15.4801,120.5979,0,17560.0,76946.0,213772.0,76946.0
PHL6797,2018-10-26,Violence against civilians,Attack,Civilian targeting,Western Visayas,10.0989,122.8706,1,8677.0,16898.0,38049.0,38049.0
PHL8405,2019-05-01,Protests,Peaceful protest,,Bicol Region,12.9738,123.9933,0,15534.0,49274.0,104722.0,15534.0
PHL8401,2019-05-01,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53969.0,215554.0,653845.0,53969.0
PHL8406,2019-05-01,Protests,Peaceful protest,,Bicol Region,12.3716,123.6249,0,30601.0,52455.0,73986.0,30601.0
PHL8305,2019-04-10,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,2,53969.0,215554.0,653845.0,653845.0
PHL8763,2019-07-22,Protests,Peaceful protest,,Bicol Region,12.3716,123.6249,0,30601.0,52455.0,73986.0,30601.0
PHL8764,2019-07-22,Protests,Peaceful protest,,Bicol Region,12.9738,123.9933,0,15534.0,49274.0,104722.0,15534.0
PHL8767,2019-07-22,Protests,Peaceful protest,,Western Visayas,10.6969,122.5644,0,22196.0,102606.0,362931.0,22196.0
PHL8768,2019-07-22,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25933.0,52574.0,139325.0,25933.0
PHL8774,2019-07-22,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,74423.0,182974.0,534434.0,74423.0
PHL2764,2017-04-29,Explosions/Remote violence,Remote explosive/landmine/IED,Civilian targeting,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,521364.0
PHL3730,2017-08-29,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3247,2017-06-23,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL2415,2017-02-27,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3517,2017-08-01,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3307,2017-07-03,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3290,2017-06-30,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL3285,2017-06-29,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,72712.0,178476.0,521364.0,72712.0
PHL2763,2017-04-29,Battles,Armed clash,,Davao Region,7.0731,125.6128,2,72712.0,178476.0,521364.0,521364.0
PHL3686,2017-08-21,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,52620.0,210281.0,637943.0,52620.0
PHL2782,2017-05-01,Protests,Peaceful protest,,Calabarzon,14.2726,121.1262,0,27694.0,105690.0,347345.0,27694.0
PHL6047,2016-07-23,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,1,51926.0,207530.0,629607.0,629607.0
PHL9342,2019-09-25,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53969.0,215554.0,653845.0,53969.0
PHL4933,2018-05-15,Protests,Peaceful protest,,Central Visayas,10.3167,123.8907,0,53299.0,212945.0,645977.0,53299.0
PHL2339,2017-02-14,Violence against civilians,Attack,Civilian targeting,Zamboanga Peninsula,6.9102,122.0738,0,34917.0,103324.0,397997.0,103324.0
PHL9777,2019-12-10,Protests,Peaceful protest,,Western Visayas,11.5852,122.7511,0,25933.0,52574.0,139325.0,25933.0
PHL9766,2019-12-10,Protests,Peaceful protest,,Davao Region,7.0731,125.6128,0,74423.0,182974.0,534434.0,74423.0
PHL9928,2020-01-13,Violence against civilians,Attack,Civilian targeting,Central Luzon,14.4429,120.5459,1,1060.0,7430.0,55045.0,55045.0
PHL9962,2020-01-20,Violence against civilians,Attack,Civilian targeting,Bicol Region,12.9738,123.9933,2,15722.0,49881.0,106004.0,106004.0
PHL6355,2016-10-04,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,1,51926.0,207530.0,629607.0,629607.0
PHL6403,2016-10-17,Violence against civilians,Attack,Civilian targeting,Central Visayas,10.3167,123.8907,1,51926.0,207530.0,629607.0,629607.0
