event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
RUS35,2018-01-19,Violence against civilians,Attack,Civilian targeting,Krasnodar,45.4375,40.5755,0,5514.0,25613.0,60149.0,25613.0
RUS109,2018-01-30,Violence against civilians,Attack,Civilian targeting,Kaliningrad,54.7065,20.5110,0,6765.0,26972.0,145507.0,26972.0
RUS145,2018-02-05,Strategic developments,Change to group/activity,,Kaliningrad,54.7065,20.5110,0,6765.0,26972.0,145507.0,
RUS150,2018-02-07,Strategic developments,Change to group/activity,,Sakhalin,46.9541,142.7360,0,6558.0,30817.0,96332.0,
RUS155,2018-02-09,Riots,Mob violence,,Nizhny Novgorod,56.2946,43.9412,0,9342.0,38257.0,142633.0,38257.0
RUS165,2018-02-15,Protests,Peaceful protest,,Voronezh,51.6720,39.1843,0,11179.0,49114.0,271061.0,11179.0
RUS166,2018-02-15,Protests,Peaceful protest,,Voronezh,51.6720,39.1843,0,11179.0,49114.0,271061.0,11179.0
RUS177,2018-02-18,Protests,Peaceful protest,,Chelyabinsk,55.1540,61.4292,0,8028.0,39022.0,212044.0,8028.0
RUS178,2018-02-18,Protests,Peaceful protest,,Republic of Tatarstan,55.7887,49.1221,0,10395.0,38057.0,145529.0,10395.0
RUS180,2018-02-19,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Republic of Dagestan,43.8471,46.7144,0,5950.0,26065.0,62298.0,26065.0
RUS238,2018-03-07,Violence against civilians,Attack,Civilian targeting,Orenburg,51.7727,55.0988,0,8697.0,43267.0,168850.0,43267.0
RUS314,2018-03-22,Explosions/Remote violence,Remote explosive/landmine/IED,,Saratov,51.5406,46.0086,0,12863.0,48211.0,238647.0,238647.0
RUS329,2018-03-27,Protests,Peaceful protest,,Moscow Oblast,56.0227,35.9409,0,1615.0,6275.0,14926.0,1615.0
RUS337,2018-03-31,Battles,Armed clash,,Stavropol,45.7180,42.9036,0,4580.0,13716.0,29280.0,29280.0
RUS339,2018-03-31,Protests,Peaceful protest,,Republic of Dagestan,43.1016,47.4564,0,900.0,3577.0,13001.0,900.0
RUS355,2018-04-04,Protests,Peaceful protest,,Republic of Dagestan,43.1016,47.4564,0,900.0,3577.0,13001.0,900.0
RUS356,2018-04-04,Strategic developments,Looting/property destruction,,Sverdlovsk,56.8519,60.6122,0,10125.0,40114.0,224106.0,
RUS357,2018-04-05,Strategic developments,Arrests,,Krasnodar,45.3740,39.1478,0,0.0,0.0,39.0,
RUS394,2018-04-19,Protests,Protest with intervention,,Moscow Oblast,55.0794,38.7783,0,5440.0,24323.0,72150.0,5440.0
RUS399,2018-04-21,Battles,Armed clash,,Republic of Dagestan,42.0678,48.2899,3,20385.0,50647.0,110472.0,110472.0
RUS408,2018-04-22,Protests,Peaceful protest,,Khanty-Mansi,60.9344,76.5531,0,5284.0,18028.0,102583.0,5284.0
RUS411,2018-04-22,Protests,Peaceful protest,,Khanty-Mansi,61.2548,73.3836,0,5458.0,16992.0,99988.0,5458.0
RUS416,2018-04-23,Protests,Peaceful protest,,Moscow Oblast,56.0833,37.0833,0,351.0,1035.0,11301.0,351.0
RUS420,2018-04-24,Strategic developments,Arrests,,Republic of Tatarstan,55.7887,49.1221,0,10395.0,38057.0,145529.0,
RUS421,2018-04-24,Protests,Protest with intervention,,Moscow Oblast,55.3635,37.5298,0,5508.0,18673.0,54743.0,5508.0
RUS431,2018-04-29,Protests,Peaceful protest,,Kamchatka,53.0292,158.6541,0,996.0,12403.0,61742.0,996.0
RUS457,2018-05-01,Protests,Peaceful protest,,Novosibirsk,55.0415,82.9346,0,16640.0,41133.0,255397.0,16640.0
RUS476,2018-05-01,Protests,Peaceful protest,,Murmansk,68.9792,33.0925,0,8046.0,15610.0,56038.0,8046.0
RUS481,2018-05-01,Protests,Peaceful protest,,Oryol,52.9624,36.1021,0,5324.0,27933.0,123406.0,5324.0
RUS483,2018-05-01,Protests,Peaceful protest,,Kamchatka,53.0292,158.6541,0,996.0,12403.0,61742.0,996.0
RUS489,2018-05-01,Protests,Peaceful protest,,Tomsk,56.4977,84.9744,0,8771.0,33481.0,193020.0,8771.0
RUS490,2018-05-01,Protests,Peaceful protest,,Tver,56.8605,35.8760,0,3352.0,21176.0,127614.0,3352.0
RUS491,2018-05-01,Protests,Peaceful protest,,Tyumen,57.1522,65.5272,0,8762.0,29886.0,184726.0,8762.0
RUS510,2018-05-05,Protests,Peaceful protest,,Murmansk,67.5641,33.4031,0,4921.0,10574.0,33083.0,4921.0
RUS512,2018-05-05,Protests,Peaceful protest,,Krasnodar,44.9892,41.1234,0,6265.0,39090.0,136840.0,6265.0
RUS514,2018-05-05,Protests,Peaceful protest,,Saratov,52.0278,47.8006,0,3544.0,20095.0,118967.0,3544.0
RUS520,2018-05-05,Protests,Peaceful protest,,Bryansk,53.2521,34.3717,0,4086.0,18118.0,79602.0,4086.0
RUS526,2018-05-05,Protests,Peaceful protest,,Moscow Oblast,56.7333,37.1666,0,7717.0,12944.0,40148.0,7717.0
RUS529,2018-05-05,Protests,Peaceful protest,,Udmurt Republic,56.8498,53.2045,0,10282.0,32085.0,169302.0,10282.0
RUS532,2018-05-05,Protests,Peaceful protest,,Murmansk,67.1620,32.4122,0,5127.0,7091.0,21997.0,5127.0
RUS536,2018-05-05,Protests,Peaceful protest,,Kirov,58.5967,49.6601,0,9625.0,36969.0,157684.0,9625.0
RUS539,2018-05-05,Protests,Peaceful protest,,Kostroma,57.7665,40.9269,0,6585.0,22598.0,122444.0,6585.0
RUS545,2018-05-05,Protests,Peaceful protest,,Lipetsk,52.6031,39.5708,0,12094.0,40216.0,165982.0,12094.0
RUS548,2018-05-05,Protests,Peaceful protest,,Chelyabinsk,53.4186,59.0472,0,3712.0,14048.0,57812.0,3712.0
RUS550,2018-05-05,Protests,Peaceful protest,,Murmansk,67.9397,32.8738,0,1729.0,4247.0,13676.0,1729.0
RUS555,2018-05-05,Protests,Protest with intervention,,Nizhny Novgorod,56.2946,43.9412,0,9342.0,38257.0,142633.0,9342.0
RUS556,2018-05-05,Protests,Peaceful protest,,Krasnoyarsk,69.3535,88.2027,0,9685.0,16964.0,54820.0,9685.0
RUS559,2018-05-05,Protests,Peaceful protest,,Kaluga,55.0968,36.6100,0,7946.0,24776.0,88932.0,7946.0
RUS560,2018-05-05,Protests,Peaceful protest,,Murmansk,68.1403,33.2737,0,1425.0,5449.0,16152.0,1425.0
RUS568,2018-05-05,Protests,Peaceful protest,,Murmansk,67.3661,32.4980,0,1439.0,7219.0,11064.0,1439.0
RUS571,2018-05-05,Protests,Peaceful protest,,Ryazan,54.6269,39.6916,0,3806.0,21999.0,134190.0,3806.0
RUS573,2018-05-05,Protests,Peaceful protest,,Republic of Mordovia,54.1838,45.1749,0,15812.0,36244.0,142138.0,15812.0
RUS574,2018-05-05,Protests,Peaceful protest,,Saratov,51.5406,46.0086,0,12863.0,48211.0,238647.0,12863.0
RUS575,2018-05-05,Protests,Protest with intervention,,Smolensk,54.7818,32.0401,0,8577.0,27709.0,148568.0,8577.0
RUS576,2018-05-05,Protests,Protest with intervention,,Krasnodar,43.5992,39.7257,0,20514.0,45842.0,136574.0,20514.0
RUS583,2018-05-05,Protests,Peaceful protest,,Tula,54.2021,37.6443,0,5779.0,22389.0,130554.0,5779.0
RUS585,2018-05-05,Protests,Peaceful protest,,Tyumen,57.1522,65.5272,0,8762.0,29886.0,184726.0,8762.0
RUS590,2018-05-05,Protests,Protest with intervention,,Pskov,56.3400,30.5451,0,3514.0,13566.0,68152.0,3514.0
RUS600,2018-05-05,Protests,Peaceful protest,,Republic of Mari El,56.6369,47.8711,0,16074.0,43343.0,181970.0,16074.0
RUS621,2018-05-10,Violence against civilians,Attack,Civilian targeting,Novosibirsk,55.3470,78.3485,1,2096.0,8941.0,26949.0,26949.0
RUS624,2018-05-10,Violence against civilians,Attack,Civilian targeting,Krasnodar,43.5992,39.7257,0,20514.0,45842.0,136574.0,45842.0
RUS625,2018-05-10,Violence against civilians,Attack,Civilian targeting,Volgograd,48.7194,44.5018,0,9783.0,47992.0,205546.0,47992.0
RUS627,2018-05-11,Protests,Peaceful protest,,Krasnodar,45.0448,38.9760,0,7913.0,52506.0,269739.0,7913.0
RUS628,2018-05-11,Protests,Peaceful protest,,Moscow Oblast,55.9333,36.2422,0,52.0,115.0,1072.0,52.0
RUS629,2018-05-11,Protests,Peaceful protest,,Moscow Oblast,55.9601,36.2222,0,610.0,1009.0,2720.0,610.0
RUS631,2018-05-12,Protests,Peaceful protest,,Novgorod,58.5447,31.2857,0,848.0,11213.0,95764.0,848.0
RUS634,2018-05-13,Riots,Violent demonstration,,Moscow Oblast,55.3635,37.5298,0,5508.0,18673.0,54743.0,18673.0
RUS638,2018-05-14,Protests,Protest with intervention,,Novosibirsk,55.0415,82.9346,0,16640.0,41133.0,255397.0,16640.0
RUS648,2018-05-16,Protests,Peaceful protest,,Moscow Oblast,56.0227,35.9409,0,1615.0,6275.0,14926.0,1615.0
RUS652,2018-05-17,Violence against civilians,Attack,Civilian targeting,Krasnoyarsk,56.0184,92.8672,0,8405.0,36281.0,170944.0,36281.0
RUS653,2018-05-17,Violence against civilians,Attack,Civilian targeting,Novosibirsk,55.0415,82.9346,0,16640.0,41133.0,255397.0,41133.0
RUS654,2018-05-17,Protests,Protest with intervention,,Novosibirsk,55.0415,82.9346,0,16640.0,41133.0,255397.0,16640.0
RUS655,2018-05-18,Explosions/Remote violence,Grenade,,Samara,53.0000,51.7500,0,0.0,2.0,24.0,24.0
