event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
TWN161,2019-03-28,Protests,Peaceful protest,,Chiayi,23.4794,120.3349,0,400.0,3239.0,30403.0,400.0
TWN168,2019-03-29,Protests,Peaceful protest,,Hsinchu,24.8270,121.0130,0,27824.0,113563.0,277672.0,27824.0
TWN219,2019-04-25,Protests,Peaceful protest,,Miaoli,24.5736,120.8150,0,16523.0,47244.0,102290.0,16523.0
TWN269,2019-05-16,Protests,Peaceful protest,,Yunlin,23.7987,120.2179,0,2550.0,7163.0,21581.0,2550.0
TWN30,2019-01-12,Protests,Peaceful protest,,Changhua,23.8896,120.5416,0,3190.0,14502.0,86458.0,3190.0
TWN327,2019-06-15,Protests,Peaceful protest,,Nantou,23.9188,120.6781,0,16550.0,40892.0,95900.0,16550.0
TWN338,2019-06-19,Protests,Peaceful protest,,Pingtung,22.6832,120.4879,0,18472.0,101652.0,198152.0,18472.0
TWN356,2019-06-27,Protests,Peaceful protest,,Miaoli,24.4447,120.8744,0,738.0,2572.0,8080.0,738.0
TWN371,2019-07-02,Protests,Peaceful protest,,Yunlin,23.5726,120.2459,0,3241.0,5055.0,19261.0,3241.0
TWN383,2019-07-08,Protests,Peaceful protest,,Pingtung,22.6832,120.4879,0,18472.0,101652.0,198152.0,18472.0
TWN385,2019-07-09,Protests,Peaceful protest,,Yunlin,23.7095,120.5623,0,6275.0,26150.0,104513.0,6275.0
TWN387,2019-07-10,Protests,Peaceful protest,,Nantou,24.0405,120.8571,0,2260.0,2855.0,5899.0,2260.0
TWN395,2019-07-16,Protests,Peaceful protest,,Hsinchu City,24.8070,120.9677,0,57241.0,161907.0,346328.0,57241.0
TWN435,2019-08-05,Protests,Peaceful protest,,Hsinchu,24.8833,121.0500,0,5389.0,15485.0,88055.0,5389.0
TWN474,2019-08-21,Protests,Peaceful protest,,Nantou,23.9188,120.6781,0,16550.0,40892.0,95900.0,16550.0
TWN617,2019-11-06,Protests,Peaceful protest,,Yunlin,23.7095,120.5623,0,6275.0,26150.0,104513.0,6275.0
TWN632,2019-11-14,Protests,Peaceful protest,,Miaoli,24.5736,120.8150,0,16523.0,47244.0,102290.0,16523.0
TWN634,2019-11-15,Protests,Peaceful protest,,Pingtung,22.6832,120.4879,0,18472.0,101652.0,198152.0,18472.0
TWN717,2019-12-23,Protests,Peaceful protest,,Pingtung,22.2341,120.8009,0,135.0,210.0,348.0,135.0
TWN721,2019-12-24,Protests,Peaceful protest,,Kinmen,24.4328,118.3205,0,10235.0,21383.0,34776.0,10235.0
TWN8,2019-01-03,Protests,Peaceful protest,,Hualien,23.9914,121.6106,0,13586.0,51951.0,126381.0,13586.0
TWN83,2019-02-27,Protests,Peaceful protest,,Yunlin,23.6374,120.1922,0,222.0,1447.0,10653.0,222.0
TWN693,2019-12-14,Protests,Peaceful protest,,Pingtung,22.6832,120.4879,0,18472.0,101652.0,198074.0,18472.0
TWN574,2019-10-16,Protests,Peaceful protest,,Changhua,23.9007,120.5919,0,9771.0,18175.0,51052.0,9771.0
TWN376,2019-07-04,Protests,Peaceful protest,,Nantou,23.9188,120.6781,0,16550.0,40892.0,95900.0,16550.0
