event_id_cnty,event_date,event_type,sub_event_type,civilian_targeting,admin1,latitude,longitude,fatalities,population_1km,population_2km,population_5km,population_best
VEN1482,2019-05-20,Protests,Peaceful protest,,Anzoategui,10.2138,-64.6328,0,18029.0,38208.0,129824.0,18029.0
VEN1484,2019-05-20,Protests,Peaceful protest,,Trujillo,9.3658,-70.4369,0,10932.0,21969.0,27685.0,10932.0
VEN1500,2019-05-21,Protests,Peaceful protest,,Trujillo,9.3658,-70.4369,0,10932.0,21969.0,27685.0,10932.0
VEN3053,2019-11-13,Battles,Armed clash,,Tachira,7.9524,-72.4740,1,386.0,1992.0,70001.0,70001.0
VEN1508,2019-05-22,Riots,Mob violence,,Tachira,7.8373,-72.2280,0,13944.0,21844.0,23107.0,21844.0
VEN1530,2019-05-23,Riots,Violent demonstration,,Merida,8.5897,-71.1561,0,18483.0,52075.0,152584.0,52075.0
VEN1496,2019-05-21,Violence against civilians,Attack,Civilian targeting,Aragua,10.1738,-67.5419,1,20444.0,40449.0,128586.0,128586.0
VEN3575,2020-02-04,Protests,Peaceful protest,,Bolivar,8.2950,-62.7191,0,13904.0,74204.0,181242.0,13904.0
VEN953,2019-03-21,Protests,Peaceful protest,,Bolivar,8.2950,-62.7191,0,14266.0,76068.0,185799.0,14266.0
VEN2953,2019-11-05,Protests,Peaceful protest,,Bolivar,8.1292,-63.5409,0,13035.0,82107.0,254495.0,13035.0
VEN3565,2020-02-03,Protests,Peaceful protest,,Bolivar,8.2950,-62.7191,0,13904.0,74204.0,181242.0,13904.0
VEN3638,2020-02-16,Protests,Peaceful protest,,Bolivar,8.1292,-63.5409,0,12704.0,80052.0,248151.0,12704.0
VEN916,2019-03-17,Riots,Violent demonstration,,Bolivar,8.0350,-62.6556,0,2128.0,3502.0,6122.0,3502.0
VEN3082,2019-11-15,Strategic developments,Change to group/activity,,Tachira,7.9194,-72.4431,0,18631.0,41539.0,68940.0,
VEN3077,2019-11-15,Strategic developments,Change to group/activity,,Tachira,7.8140,-72.4403,0,16384.0,24451.0,25896.0,
VEN3420,2020-01-09,Strategic developments,Other,,Tachira,7.8140,-72.4403,0,15948.0,23797.0,25206.0,
VEN1477,2019-05-20,Protests,Peaceful protest,,Zulia,10.6666,-71.6125,0,16917.0,142350.0,546104.0,16917.0
VEN1510,2019-05-22,Protests,Peaceful protest,,Anzoategui,10.2138,-64.6328,0,18029.0,38208.0,129824.0,18029.0
VEN1498,2019-05-21,Violence against civilians,Abduction/forced disappearance,Civilian targeting,Tachira,7.8140,-72.4403,0,16384.0,24451.0,25896.0,24451.0
VEN1528,2019-05-23,Protests,Peaceful protest,,Miranda,10.3445,-67.0433,0,33743.0,99398.0,184681.0,33743.0
VEN3467,2020-01-16,Protests,Peaceful protest,,Lara,10.0647,-69.3570,0,11232.0,67886.0,300525.0,11232.0
VEN1507,2019-05-22,Protests,Peaceful protest,,Zulia,10.6666,-71.6125,0,16917.0,142350.0,546104.0,16917.0
VEN3500,2020-01-20,Protests,Peaceful protest,,Sucre,10.5748,-63.1075,0,2198.0,2876.0,5236.0,2198.0
VEN3489,2020-01-20,Protests,Peaceful protest,,Sucre,10.4968,-63.5529,0,7445.0,10888.0,12945.0,7445.0
VEN1532,2019-05-23,Protests,Peaceful protest,,Trujillo,9.3206,-70.6077,0,6770.0,16132.0,36554.0,6770.0
VEN3648,2020-02-18,Protests,Peaceful protest,,Merida,8.5897,-71.1561,0,18034.0,50824.0,148824.0,18034.0
VEN1526,2019-05-23,Protests,Peaceful protest,,Lara,9.6219,-69.7964,0,6479.0,9332.0,12866.0,6479.0
VEN1520,2019-05-23,Protests,Peaceful protest,,Miranda,10.2425,-66.8572,0,28063.0,64590.0,148940.0,28063.0
VEN1474,2019-05-20,Protests,Peaceful protest,,Bolivar,8.2950,-62.7191,0,14266.0,76068.0,185799.0,14266.0
VEN1509,2019-05-22,Protests,Peaceful protest,,Nueva Esparta,10.9577,-63.8697,0,21352.0,61484.0,130038.0,21352.0
VEN1539,2019-05-24,Protests,Peaceful protest,,Apure,7.2424,-70.7324,0,32906.0,72874.0,99873.0,32906.0
VEN3510,2020-01-22,Protests,Peaceful protest,,Barinas,8.2759,-70.1103,0,2243.0,2876.0,4601.0,2243.0
VEN3493,2020-01-20,Protests,Peaceful protest,,Sucre,10.5494,-63.1545,0,2448.0,4097.0,6454.0,2448.0
VEN3495,2020-01-20,Protests,Peaceful protest,,Sucre,10.5772,-62.2984,0,9996.0,15254.0,19389.0,9996.0
VEN1458,2019-05-18,Battles,Armed clash,,Tachira,7.9194,-72.4431,0,18631.0,41539.0,69141.0,69141.0
VEN3369,2019-12-24,Protests,Peaceful protest,,Sucre,10.4540,-64.1826,0,10313.0,57185.0,151535.0,10313.0
VEN1522,2019-05-23,Protests,Peaceful protest,,Bolivar,8.2950,-62.7191,0,14266.0,76068.0,185799.0,14266.0
VEN1478,2019-05-20,Protests,Peaceful protest,,Merida,9.1736,-71.2177,0,630.0,694.0,1070.0,630.0
VEN1506,2019-05-22,Protests,Peaceful protest,,Barinas,8.0971,-69.3106,0,6375.0,6654.0,9640.0,6375.0
VEN1495,2019-05-21,Protests,Peaceful protest,,Merida,8.6078,-71.6607,0,18376.0,47281.0,87831.0,18376.0
VEN1511,2019-05-22,Protests,Peaceful protest,,Anzoategui,8.4145,-64.8890,0,1404.0,1969.0,2364.0,1404.0
VEN1531,2019-05-23,Protests,Peaceful protest,,Anzoategui,8.4145,-64.8890,0,1404.0,1969.0,2364.0,1404.0
VEN1499,2019-05-21,Protests,Peaceful protest,,Anzoategui,8.4145,-64.8890,0,1404.0,1969.0,2364.0,1404.0
VEN1463,2019-05-19,Protests,Peaceful protest,,Merida,8.5897,-71.1561,0,18483.0,52075.0,152584.0,18483.0
VEN2754,2019-10-17,Protests,Peaceful protest,,Bolivar,6.5893,-66.7565,0,2001.0,3296.0,5168.0,2001.0
VEN1447,2019-05-17,Protests,Peaceful protest,,Merida,8.6078,-71.6607,0,18376.0,47281.0,87831.0,18376.0
VEN2843,2019-10-22,Protests,Peaceful protest,,Carabobo,10.1620,-68.0077,0,25042.0,117266.0,428355.0,25042.0
VEN1486,2019-05-20,Protests,Peaceful protest,,Trujillo,9.3206,-70.6077,0,6770.0,16132.0,36554.0,6770.0
VEN1462,2019-05-19,Protests,Peaceful protest,,Zulia,10.6666,-71.6125,0,16917.0,142350.0,546104.0,16917.0
VEN1537,2019-05-24,Protests,Peaceful protest,,Sucre,10.4540,-64.1826,0,10313.0,57185.0,151535.0,10313.0
VEN1519,2019-05-23,Protests,Peaceful protest,,Miranda,10.2425,-66.8572,0,28063.0,64590.0,148940.0,28063.0
VEN1476,2019-05-20,Protests,Peaceful protest,,Portuguesa,9.0418,-69.7421,0,47451.0,125494.0,310827.0,47451.0
VEN3642,2020-02-17,Riots,Violent demonstration,,Merida,8.5897,-71.1561,0,18034.0,50824.0,148824.0,50824.0
VEN1466,2019-05-20,Protests,Peaceful protest,,Portuguesa,9.5814,-69.2385,0,15508.0,37943.0,77996.0,15508.0
